,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,upset
0,offline,standard,-4,0,206.0,FF,1
1,offline,standard,21,0,220.0,MM,1
2,offline,standard,22,0,213.0,MM,1
3,offline,standard,-37,0,211.0,MM,0
4,offline,standard,-14,0,204.0,MM,1
5,offline,standard,-22,0,202.0,MM,0
6,offline,standard,2,0,216.0,MM,0
7,offline,standard,26,-1,213.0,MM,1
8,offline,standard,4,0,387.0,MM,0
9,offline,standard,2,0,289.0,MF,0
10,offline,standard,1,0,262.0,MF,1
11,offline,standard,2,0,248.0,MM,0
12,offline,standard,-33,0,241.0,MM,0
13,offline,standard,-10,-1,263.0,MM,0
14,offline,standard,11,0,229.0,MM,1
15,offline,standard,0,0,383.0,MM,0
16,offline,standard,8,-1,277.0,MM,0
17,offline,standard,19,0,246.0,MM,1
18,offline,standard,-12,0,242.0,MM,0
19,offline,standard,2,0,275.0,MM,1
20,offline,standard,31,0,234.0,MM,1
21,offline,standard,-10,0,274.0,MM,0
22,offline,standard,-8,-1,329.0,MM,0
23,offline,standard,7,0,357.0,MM,0
24,offline,standard,32,0,403.0,MM,1
25,offline,standard,29,0,239.0,MF,1
26,offline,standard,4,0,208.0,MM,1
27,offline,standard,-8,0,334.0,MM,1
28,offline,standard,3,-1,239.0,MM,0
29,offline,standard,15,0,377.0,MM,1
30,offline,standard,17,0,248.0,MF,0
31,offline,standard,5,0,242.0,MM,1
32,offline,standard,-9,0,230.0,MM,1
33,offline,standard,9,0,429.0,MM,0
34,offline,standard,7,-1,232.0,MM,0
35,offline,standard,6,0,261.0,MM,0
36,offline,standard,-14,0,396.0,MM,1
37,offline,standard,15,0,531.0,MM,1
38,offline,standard,-17,0,296.0,MM,1
39,offline,standard,10,0,298.0,MM,0
40,offline,standard,-20,0,223.0,MM,0
41,offline,standard,-1,-1,202.0,MM,0
42,offline,standard,10,0,206.0,MF,0
43,offline,standard,-29,0,211.0,MM,0
44,offline,standard,12,0,208.0,MM,0
45,offline,standard,-17,0,205.0,MM,0
46,offline,standard,-49,0,204.0,MM,0
47,offline,standard,40,0,249.0,MM,1
48,offline,standard,-33,0,237.0,MM,0
49,offline,standard,-37,0,228.0,MM,0
50,offline,standard,3,-1,245.0,MF,0
51,offline,standard,-24,-1,245.0,MM,1
52,offline,standard,25,0,262.0,MF,0
53,offline,standard,-33,0,221.0,MM,0
54,offline,standard,1,-1,227.0,MM,0
55,offline,standard,34,0,237.0,MF,0
56,offline,standard,-7,0,224.0,MM,0
57,offline,standard,1,0,281.0,FM,1
58,offline,standard,-3,0,245.0,MF,0
59,offline,standard,4,-1,246.0,MM,1
60,offline,standard,0,0,212.0,MM,0
61,offline,standard,-24,0,205.0,FM,1
62,offline,standard,-14,0,256.0,MM,1
63,offline,standard,-22,0,211.0,MM,0
64,offline,standard,9,0,231.0,MM,1
65,offline,standard,-46,0,234.0,FM,1
66,offline,standard,-11,0,205.0,MM,1
67,offline,standard,37,0,224.0,MM,1
68,offline,standard,-28,0,321.0,FM,1
69,offline,standard,15,0,231.0,MM,1
70,offline,standard,-1,0,256.0,MM,1
71,offline,standard,-7,0,280.0,MM,0
72,offline,standard,-22,0,321.0,FM,0
73,offline,standard,24,0,263.0,MM,0
74,offline,standard,18,-1,203.0,MF,0
75,offline,standard,-16,0,203.0,MM,0
76,offline,standard,15,0,274.0,MM,0
