,upset_score,tournament_id,left_fide_id,left_rtg,right_fide_id,right_rtg,location,medium,time_control
0,0.0,686540,9309535,1345,4904052,1667,"Mellieha, Malta",offline,90min+30sec/move
0,0.0,686540,9309535,1345,4904052,1667,"Mellieha, Malta",offline,90min+30sec/move
1,0.0,686540,13724800,1630,4404637,1306,"Mellieha, Malta",offline,90min+30sec/move
2,0.0,686540,45076995,1156,16233751,1615,"Mellieha, Malta",offline,90min+30sec/move
3,0.0,686540,25683896,1537,5602637,1145,"Mellieha, Malta",offline,90min+30sec/move
3,0.0,686540,25683896,1537,5602637,1145,"Mellieha, Malta",offline,90min+30sec/move
3,0.0,686540,25683896,1537,5602637,1145,"Mellieha, Malta",offline,90min+30sec/move
3,0.0,686540,25683896,1537,5602637,1145,"Mellieha, Malta",offline,90min+30sec/move
4,698.0,686540,41822412,0,472000,1396,"Mellieha, Malta",offline,90min+30sec/move
5,0.0,686540,9307010,1362,9325190,0,"Mellieha, Malta",offline,90min+30sec/move
0,0.0,686540,4904052,1667,25683896,1537,"Mellieha, Malta",offline,90min+30sec/move
0,0.0,686540,4904052,1667,25683896,1537,"Mellieha, Malta",offline,90min+30sec/move
0,0.0,686540,4904052,1667,25683896,1537,"Mellieha, Malta",offline,90min+30sec/move
0,0.0,686540,4904052,1667,25683896,1537,"Mellieha, Malta",offline,90min+30sec/move
1,0.0,686540,16233751,1615,13724800,1630,"Mellieha, Malta",offline,90min+30sec/move
2,34.0,686540,472000,1396,9307010,1362,"Mellieha, Malta",offline,90min+30sec/move
3,1306.0,686540,4404637,1306,41822412,0,"Mellieha, Malta",offline,90min+30sec/move
4,0.0,686540,5602637,1145,9309535,1345,"Mellieha, Malta",offline,90min+30sec/move
4,0.0,686540,5602637,1145,9309535,1345,"Mellieha, Malta",offline,90min+30sec/move
5,0.0,686540,9325190,0,45076995,1156,"Mellieha, Malta",offline,90min+30sec/move
0,0.0,686540,9307010,1362,4904052,1667,"Mellieha, Malta",offline,90min+30sec/move
