Name,FideID,Rtg
dummy,dummy,dummy
Margadgua Erdenebayar,4904052,1667
Alipbek Arailym,13724800,1630
Von Beckh Frieda,16233751,1615
Amulya Guruprasad,25683896,1537
Cuthbert Larissa,472000,1396
Mouza Almaamari,9307010,1362
Aysha Nasser H Alshamsi,9309535,1345
Jaramillo Amparo,4404637,1306
Rani Puja,45076995,1156
Thornton Hayley,5602637,1145
Brenska Sara,41822412,0
Mahra Khalifa Al Neyadi,9325190,0
Becerra Juan David,4404998,2296
Bouget Alexandre,681318,2277
Abdilkhair Abilmansur,13716417,2257
Rusev Jeliazko,2903784,2255
Cherniack Alex,2007606,2246
Bendayan Claros Aaron,3803392,2243
Jaskolka Tomasz,1170791,2226
Ciganovic Nikola,14508648,2215
Schnelzer Reinhold  Dr.,4615824,2178
Popiol Michal,1144472,2177
Michalek Michal,14908760,2153
Matras Ondrej,309125,2146
Bourgois Bastien,681482,2137
Gonzalez Henry Singer,22738509,2127
Ohler Julius,16238982,2116
Hurtado Bahamonde Rodrigo,3405346,2111
Panjkovic Aleksandar,918695,2110
Grasso Gaetano,840572,2107
Lam Daniel King Wai,6001238,2101
Krzyzanowski Patryk,1119958,2097
Minnican Alan,2400987,2096
Orgil Gantumur,4902076,2094
Volkmann Andre Jordi,2154463,2092
Messala Noureddine,9001476,2090
Cmiel Thorsten,4605721,2044
Khamidov Komil,1108956,2035
Ishbaev Avazbek,14200546,2033
Malinarski Yehuda,2802988,2032
Singh Arvinder Preet,5013240,2022
Papadimitriou Loukas,4204662,2013
Gorozhankina Julia,4199650,2007
Lochte Thomas,4606272,1999
Beshara Nadi,10600728,1998
Grigoryan Meri,13300571,1993
Favier Alain,20670532,1985
Psaila Clarence,5600359,1978
Fox Anthony,2500736,1958
Degrande Marigje,262757,1943
Kordzadze Nino,13603817,1926
Said Oliver,5600405,1914
Deligiannis Christos Nikolaos,25820249,1905
Bigabylov Zhuban,13701495,1881
Ebenezer Joseph,5003377,1821
Mizzi Jack,5602521,1808
Antony Jesumarian Leslie,35095021,1790
Ho In Hei Henry,6002552,1724
Hurtado Bahamonde Matias,3407527,1990
Ghita Vlad-Bogdan,1222198,1985
Quijada Carvajal Leonardo Gustavo,3425924,1984
Medeiros Thauane Ferreira,2134470,1979
Klein Raimund,4689046,1978
Lozovoi Roman,34123563,1974
Alashtar Aasef,7600607,1969
Messala Jamal,9000682,1965
Montiel Angel Nathanael,3706923,1963
Cuesta Cifuentes Jair Alfonso,4406575,1962
Selva Salvador Antonio,2223821,1961
Saber Anas,9000810,1957
Celik Berkay,6337848,1954
Oelmann Henry,24628670,1954
Navarro Rico Lluis,32045913,1953
Brixel Christof Dr.,16277040,1950
Stoychev Ognian,2943573,1949
Iclicki Willy,200450,1947
Flis Pawel,1112864,1936
Cafolla Peter,2500884,1932
Baliuniene Margarita,12802760,1927
Davis Lee,1801325,1922
Holliman Bob,2031752,1922
Baisynov Islambek,13800841,1914
Roch Florian,26047969,1910
Steincamp Isaac,2089548,1910
Andrzejewska Anna,1127284,1889
Erdogan Hassan,465917,1889
Builes Palacio Santiago,4465857,1882
Adewole Adeyinka Samuel,8502544,1881
Donoso Simonetti Alvaro Matias,5198194,1879
Tarnowska Aleksandra,1180967,1876
Hurtado Oldridge Felipe,2215055,1874
Peter Anand A,25003801,1872
Lopez Ramirez Jorge Hernan,4426720,1866
Jenidarchiche Douglas Rodrigo,2193310,1863
Rudecki Bartosz,1189395,1846
Gibbs Dominic V,412090,1845
Ng Chun Hei,6004369,1814
Vallianos Gerasimos,4274490,1814
Hrisafis Argirios,4221443,1812
Zielinski Olgierd,1132776,1808
Ainakul Mukhtar,13727354,1806
Forsa Elise,1500163,1806
Baete Guy,207187,1805
Sodbilegt Naranbold,4903528,1790
Coy Rupert,3209423,1780
Djokic Dusan,914207,1780
Hipler Andreas Dr.,24653470,1774
Hrebicek Petr,318850,1771
Tardi Oscar,649287,1766
Sharma Pankaj,25080407,1764
Casas Ospina Favio,4440250,1757
Grenier Jean-Luc,2634864,1753
Simas Breno Matos,2188295,1749
Saliba Luke,5600480,1738
Niemann Leon,16218388,1736
Ghitza Elena,5603315,1733
Psaila Mario,5600731,1720
