tournament_id,url,location,medium,time_control
686540,https://chess-results.com/tnr686540.aspx?lan=1,"Mellieha, Malta",offline,90min+30sec/move
669871,https://chess-results.com/tnr669871.aspx?lan=1,"Mellieha, Malta",offline,90min+30sec/move
686538,https://chess-results.com/tnr686538.aspx?lan=1,"Mellieha, Malta",offline,90min+30sec/move
686539,https://chess-results.com/tnr686539.aspx?lan=1,"Mellieha, Malta",offline,90min+30sec/move
670407,https://chess-results.com/tnr670407.aspx?lan=1,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
670410,https://chess-results.com/tnr670410.aspx?lan=1,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
683767,https://chess-results.com/tnr683767.aspx?lan=1,Spain / Torrevieja,offline,5 minutes for game with 5 seconds increment from move 1
665934,https://chess-results.com/tnr665934.aspx?lan=1,Spain / Torrevieja,offline,15 minutes for game with 10 seconds increment from move 1
680077,https://chess-results.com/tnr680077.aspx?lan=1,Nakhchivan,offline,90min for 40 moves + 30min for the rest of the game with an inc. of 30sec per move from 1st move
680641,https://chess-results.com/tnr680641.aspx?lan=1,Crete,offline,"40/1,5  all/0,25"
680633,https://chess-results.com/tnr680633.aspx?lan=1,Crete,offline,"40/1,5  all/0,25"
680631,https://chess-results.com/tnr680631.aspx?lan=1,Crete,offline,"40/1,5  all/0,25"
680636,https://chess-results.com/tnr680636.aspx?lan=1,Crete,offline,"40/1,5  all/0,25"
680637,https://chess-results.com/tnr680637.aspx?lan=1,Crete,offline,"40/1,5  all/0,25"
680639,https://chess-results.com/tnr680639.aspx?lan=1,Crete,offline,"40/1,5  all/0,25"
680944,https://chess-results.com/tnr680944.aspx?lan=1,Nakhchivan,offline,90min for 40 moves + 30min for the rest of the game with an inc. of 30sec per move from 1st move
670153,https://chess-results.com/tnr670153.aspx?lan=1,"Batumi, Georgia",offline,90min+30sec/move
670152,https://chess-results.com/tnr670152.aspx?lan=1,"Batumi, Georgia",offline,90min+30sec/move
670151,https://chess-results.com/tnr670151.aspx?lan=1,"Batumi, Georgia",offline,90min+30sec/move
670150,https://chess-results.com/tnr670150.aspx?lan=1,"Batumi, Georgia",offline,90min+30sec/move
670149,https://chess-results.com/tnr670149.aspx?lan=1,"Batumi, Georgia",offline,90min+30sec/move
670148,https://chess-results.com/tnr670148.aspx?lan=1,"Batumi, Georgia",offline,90min+30sec/move
657090,https://chess-results.com/tnr657090.aspx?lan=1,NERAVATI EM SCHOOL NANDYAL,offline,20+5
673431,https://chess-results.com/tnr673431.aspx?lan=1,Antwerp,offline,"90' incr. 30"""
673429,https://chess-results.com/tnr673429.aspx?lan=1,Antwerp,offline,"90' incr. 30"""
675024,https://chess-results.com/tnr675024.aspx?lan=1,Issyk-Kul,offline,
655571,https://chess-results.com/tnr655571.aspx?lan=1,Mamaia,offline,90 min. KO + 30 sec./move
655566,https://chess-results.com/tnr655566.aspx?lan=1,Mamaia,offline,90 min. KO + 30 sec./move
655565,https://chess-results.com/tnr655565.aspx?lan=1,Mamaia,offline,90 min. KO + 30 sec./move
655570,https://chess-results.com/tnr655570.aspx?lan=1,Mamaia,offline,90 min. KO + 30 sec./move
655569,https://chess-results.com/tnr655569.aspx?lan=1,Mamaia,offline,90 min. KO + 30 sec./move
655568,https://chess-results.com/tnr655568.aspx?lan=1,Mamaia,offline,90 min. KO + 30 sec./move
675755,https://chess-results.com/tnr675755.aspx?lan=1,Warszawa,offline,3m+2s increment from move 1
675757,https://chess-results.com/tnr675757.aspx?lan=1,Warszawa,offline,3m+2s increment from move 1
675756,https://chess-results.com/tnr675756.aspx?lan=1,Warszawa,offline,3m+2s increment from move 1
674835,https://chess-results.com/tnr674835.aspx?lan=1,Antwerp,offline,"3' incr. 2"""
674836,https://chess-results.com/tnr674836.aspx?lan=1,Antwerp,offline,"3' incr. 2"""
672631,https://chess-results.com/tnr672631.aspx?lan=1,Issyk-Kul,offline,"45'+15"""
672624,https://chess-results.com/tnr672624.aspx?lan=1,Issyk-Kul,offline,"45'+15"""
672623,https://chess-results.com/tnr672623.aspx?lan=1,Issyk-Kul,offline,
672221,https://chess-results.com/tnr672221.aspx?lan=1,Issyk-Kul,offline,"7'+5"""
672633,https://chess-results.com/tnr672633.aspx?lan=1,Issyk-Kul,offline,"45'+15"""
672625,https://chess-results.com/tnr672625.aspx?lan=1,Issyk-Kul,offline,"45'+15"""
641973,https://chess-results.com/tnr641973.aspx?lan=1,Marshall Chess Club,offline,90 minutes with 30 second increment from move 1
641963,https://chess-results.com/tnr641963.aspx?lan=1,Marshall Chess Club,offline,90 minutes with 30 second increment from move 1
672645,https://chess-results.com/tnr672645.aspx?lan=1,Issyk-Kul,offline,"45'+15"""
672627,https://chess-results.com/tnr672627.aspx?lan=1,Issyk-Kul,offline,"7'+5"""
672222,https://chess-results.com/tnr672222.aspx?lan=1,Issyk-Kul,offline,"45'+15"""
672220,https://chess-results.com/tnr672220.aspx?lan=1,Issyk-Kul,offline,"7'+5"""
661581,https://chess-results.com/tnr661581.aspx?lan=1,"Restaurant Mykonos - WaterWorld (Carretera de Vidreres, km 1.2,  Lloret de Mar)",offline,5 Minutos Finish
636731,https://chess-results.com/tnr636731.aspx?lan=1,Lakitelek,offline,Standard (90-90min/all) +30 sec/move
661394,https://chess-results.com/tnr661394.aspx?lan=1,"""Angina"" Laskarpur Peara Bagan, Kamalgazi, Kolkata-700153",offline,20 mins each
661395,https://chess-results.com/tnr661395.aspx?lan=1,"""Angina"" Laskarpur, Peara Bagan, Kamalgazi, Kolkata-700153",offline,20 Mins each
659173,https://chess-results.com/tnr659173.aspx?lan=1,"K.R. MANGALAM WORLD SCHOOL, FARIDABAD",offline,20 Minutes + 05 Second Increment
659176,https://chess-results.com/tnr659176.aspx?lan=1,"K.R. MANGALAM WORLD SCHOOL, FARIDABAD",offline,20 Minutes + 05 Second Increment
659169,https://chess-results.com/tnr659169.aspx?lan=1,"K.R. MANGALAM WORLD SCHOOL, FARIDABAD",offline,20 Minutes + 05 Second Increment
659168,https://chess-results.com/tnr659168.aspx?lan=1,"K.R. MANGALAM WORLD SCHOOL, FARIDABAD",offline,25 Minutes + 05 Second Increment
643549,https://chess-results.com/tnr643549.aspx?lan=1,"Ohrid, North Macedonia",offline,120'/end
654763,https://chess-results.com/tnr654763.aspx?lan=1,"Ohrid, North Macedonia",offline,120'/end
656389,https://chess-results.com/tnr656389.aspx?lan=1,Trivandrum  [Eanchakkal  Chakka Bypass],offline,20 min + 10 sec increment from move one
657561,https://chess-results.com/tnr657561.aspx?lan=1,"Cosmos Sports,KM Tower,Thurakkal Bypass Jn,Manjeri.",offline,20min+5sec increment from move one
658303,https://chess-results.com/tnr658303.aspx?lan=1,KOZHIKODE,offline,20 Minutes + 05 Seconds
653095,https://chess-results.com/tnr653095.aspx?lan=1,"NELLORE ARYA VYSYA BULLION MERCHANTS ASSOCIATION & VASAVI KALYANA MANDAPAM, AP",offline,25 Minutes Each + 5 Seconds Increment From Move One
641925,https://chess-results.com/tnr641925.aspx?lan=1,Acqui Terme,offline,"90min/40moves + 30min, 30sec/move"
641917,https://chess-results.com/tnr641917.aspx?lan=1,Acqui Terme,offline,"90min/40moves + 30min, 30sec/move"
643548,https://chess-results.com/tnr643548.aspx?lan=1,"Ohrid, North Macedonia",offline,120'/end
643262,https://chess-results.com/tnr643262.aspx?lan=1,"Ohrid, North Macedonia",offline,120'/end
643259,https://chess-results.com/tnr643259.aspx?lan=1,"Ohrid, North Macedonia",offline,120'/end
647382,https://chess-results.com/tnr647382.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
647384,https://chess-results.com/tnr647384.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
647383,https://chess-results.com/tnr647383.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
647380,https://chess-results.com/tnr647380.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
647379,https://chess-results.com/tnr647379.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
647376,https://chess-results.com/tnr647376.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
647375,https://chess-results.com/tnr647375.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
647373,https://chess-results.com/tnr647373.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
647372,https://chess-results.com/tnr647372.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
647371,https://chess-results.com/tnr647371.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
648627,https://chess-results.com/tnr648627.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,3 min + 2 s
647385,https://chess-results.com/tnr647385.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
648637,https://chess-results.com/tnr648637.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,3 min + 2 s
650678,https://chess-results.com/tnr650678.aspx?lan=1,Acqui Terme,offline,5 min
627802,https://chess-results.com/tnr627802.aspx?lan=1,Batumi,offline,-
636608,https://chess-results.com/tnr636608.aspx?lan=1,WYDHAM CONVENTION CENTER in Albrook Hotel in Panama City,offline,90 min + 30 s
