,No.,SNo, ,Team,Team,MP,Res.,:,Res.,MP,Team,Team, ,SNo
0,1,1,,ARM,Armenia,0,2,:,2,0,Poland 3,POL03,,40
1,2,41,,COL03,Colombia 3,0,0,:,4,0,China 1,CHN01,,2
2,3,3,,SRB,Serbia,0,4,:,0,0,Malaysia 2,MAS02,,42
3,4,43,,UKR02,Ukraine 2,0,2,:,2,0,Ukraine 1,UKR01,,4
4,5,5,,CUB01,Cuba 1,0,4,:,0,0,Chile 1,CHI01,,44
5,6,45,,BRA02,Brazil 2,0,0,:,4,0,Mongolia,MGL,,6
6,7,7,,CRO01,Croatia 1,0,4,:,0,0,Spain 1,ESP01,,46
7,8,47,,COL05,Colombia 5,0,0,:,4,0,Poland 1,POL01,,8
8,9,9,,KAZ01,Kazakhstan 1,0,3,:,1,0,Kyrgyzstan,KGZ,,48
9,10,49,,BRA03,Brazil 3,0,0,:,4,0,Spain 4,ESP04,,10
10,11,11,,BLR,Belarus,0,4,:,0,0,Chile 5,CHI05,,50
11,12,51,,MEX05,Mexico 5,0,1,:,3,0,Spain 2,ESP02,,12
12,13,13,,POL02,Poland 2,0,3,:,1,0,Argentina 2,ARG02,,52
13,14,53,,LBA,Libya,0,0,:,4,0,Kazakhstan 2,KAZ02,,14
14,15,15,,IND,India,0,4,:,0,0,Chile 2,CHI02,,54
15,16,55,,SRI01,Sri Lanka 1,0,0,:,4,0,Cuba 2,CUB02,,16
16,17,17,,HUN,Hungary,0,3½,:,½,0,Colombia 4,COL04,,56
17,18,57,,ARG01,Argentina 1,0,1½,:,2½,0,France,FRA,,18
18,19,20,,POL04,Poland 4,0,3,:,1,0,Chile 4,CHI04,,58
19,20,59,,BRA05,Brazil 5,0,1,:,3,0,Brazil 1,BRA01,,21
20,21,22,,SUI,Switzerland,0,3,:,1,0,Argentina 4,ARG04,,60
21,22,62,,SRI02,Sri Lanka 2,0,0,:,4,0,China 4,CHN04,,23
22,23,24,,MEX03,Mexico 3,0,3½,:,½,0,Sri Lanka 3,SRI03,,63
23,24,64,,SRI04,Sri Lanka 4,0,0,:,4,0,Malaysia 1,MAS01,,25
24,25,26,,ESP03,Spain 3,0,2,:,2,0,Costa Rica 2,CRC02,,65
25,26,66,,BRA04,Brazil 4,0,0,:,4,0,Czech Republic,CZE,,27
26,27,28,,CRO02,Croatia 2,0,3,:,1,0,New Zealand,NZL,,67
27,28,69,,KSA01,Saudi Arabia 1,0,½,:,3½,0,Portugal,POR,,29
28,29,31,,COL01,Colombia 1,0,3,:,1,0,Sri Lanka 5,SRI05,,70
29,30,71,,ARG05,Argentina 5,0,0,:,4,0,Mexico 2,MEX02,,32
30,31,33,,CRC01,Costa Rica 1,0,3,:,1,0,China 3,CHN03,,72
31,32,73,,SGP,Singapore,0,1,:,3,0,China 2,CHN02,,34
32,33,36,,MEX04,Mexico 4,0,4,:,0,0,Saudi Arabia 2,KSA02,,76
33,34,77,,KAZ04,Kazakhstan 4,0,½,:,3½,0,Chile 3,CHI03,,38
34,35,39,,URU01,Uruguay 1,0,2,:,2,0,China 5,CHN05,,78
35,36,37,,KAZ03,Kazakhstan 3,0,1½,:,2½,0,Mexico 1,MEX01,,19
36,37,30,,ARG03,Argentina 3,0,4,:,0,0,Costa Rica 3,CRC03,,68
37,38,74,,URU03,Uruguay 3,0,0,:,4,0,Colombia 2,COL02,,35
38,39,61,,HON,Honduras,0,4,:,0,0,Uruguay 2,URU02,,75
