,No.,Team,Team,Res.,:,Res.
0,1,  Kimberly-Clark,  PT Pelabuhan Tanjung Priok,½,:,3½
1,2,  American Express,  Paypal (SGP),4,:,0
2,3,  IQVIA,  Sun Distribution,2½,:,1½
3,4,  Deloitte New York,  Dell Technologies,4,:,0
4,5,  SEEK,  Amazon US-West,0,:,4
5,6,  Allens,  Atmos International,3½,:,½
6,7,  Eli Lilly,  Twitter,0,:,4
7,8,  Airbnb California,  FOM,3,:,1
8,9,  Amazon (AUS),  Facebook,1,:,3
9,10,  Intelix Synergy,  Infosys Canada,3,:,1
10,11,  Watersaver,  Autodesk,0,:,4
11,12,  ASINTEL,  Better.com,3,:,1
12,13,  Airbnb Washington,  Boeing,0,:,4
13,14,  Atmos (CA),  bye,2,:,
