,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.
0,1,1,2652,,GM,Oparin Grigoriy,1 - 0,IM,Beradze Irakli,,2475,8
1,2,2,2622,,GM,Martirosyan Haik M.,1 - 0,GM,Gabuzyan Hovhannes,,2557,7
2,3,3,2609,,GM,Antipov Mikhail Al.,1 - 0,IM,Taher Yoseph Theolifus,,2455,6
3,4,4,2506,,GM,Iniyan P,0 - 1,GM,Xu Yinglun,,2554,5
4,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.
5,1,8,2475,,IM,Beradze Irakli,0 - 1,GM,Xu Yinglun,,2554,5
6,2,6,2455,,IM,Taher Yoseph Theolifus,0 - 1,GM,Iniyan P,,2506,4
7,3,7,2557,,GM,Gabuzyan Hovhannes,0 - 1,GM,Antipov Mikhail Al.,,2609,3
8,4,1,2652,,GM,Oparin Grigoriy,0 - 1,GM,Martirosyan Haik M.,,2622,2
9,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.
10,1,2,2622,,GM,Martirosyan Haik M.,1 - 0,IM,Beradze Irakli,,2475,8
11,2,3,2609,,GM,Antipov Mikhail Al.,1 - 0,GM,Oparin Grigoriy,,2652,1
12,3,4,2506,,GM,Iniyan P,1 - 0,GM,Gabuzyan Hovhannes,,2557,7
13,4,5,2554,,GM,Xu Yinglun,½ - ½,IM,Taher Yoseph Theolifus,,2455,6
14,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.
15,1,8,2475,,IM,Beradze Irakli,1 - 0,IM,Taher Yoseph Theolifus,,2455,6
16,2,7,2557,,GM,Gabuzyan Hovhannes,1 - 0,GM,Xu Yinglun,,2554,5
17,3,1,2652,,GM,Oparin Grigoriy,0 - 1,GM,Iniyan P,,2506,4
18,4,2,2622,,GM,Martirosyan Haik M.,1 - 0,GM,Antipov Mikhail Al.,,2609,3
19,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.
20,1,3,2609,,GM,Antipov Mikhail Al.,1 - 0,IM,Beradze Irakli,,2475,8
21,2,4,2506,,GM,Iniyan P,½ - ½,GM,Martirosyan Haik M.,,2622,2
22,3,5,2554,,GM,Xu Yinglun,½ - ½,GM,Oparin Grigoriy,,2652,1
23,4,6,2455,,IM,Taher Yoseph Theolifus,0 - 1,GM,Gabuzyan Hovhannes,,2557,7
24,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.
25,1,8,2475,,IM,Beradze Irakli,0 - 1,GM,Gabuzyan Hovhannes,,2557,7
26,2,1,2652,,GM,Oparin Grigoriy,0 - 1,IM,Taher Yoseph Theolifus,,2455,6
27,3,2,2622,,GM,Martirosyan Haik M.,½ - ½,GM,Xu Yinglun,,2554,5
28,4,3,2609,,GM,Antipov Mikhail Al.,0 - 1,GM,Iniyan P,,2506,4
29,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.
30,1,4,2506,,GM,Iniyan P,1 - 0,IM,Beradze Irakli,,2475,8
31,2,5,2554,,GM,Xu Yinglun,½ - ½,GM,Antipov Mikhail Al.,,2609,3
32,3,6,2455,,IM,Taher Yoseph Theolifus,½ - ½,GM,Martirosyan Haik M.,,2622,2
33,4,7,2557,,GM,Gabuzyan Hovhannes,½ - ½,GM,Oparin Grigoriy,,2652,1
