,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
0,1,2,2381,IM,S. Nitin,1 - 0,FM,Vinay Kumar Matta,2305,17,PGN
1,2,3,2438,IM,Mittal Aditya,½ - ½,GM,Baskaran Adhiban,2660,16,PGN
2,3,4,2506,GM,P Iniyan,½ - ½,GM,S.p Sethuraman,2644,15,PGN
3,4,5,2624,GM,S.L Narayanan,1 - 0,GM,Sengupta Deep,2527,14,PGN
4,5,6,2351,IM,Swaminathan Soumya,½ - ½,IM,Krishnan P Saravana,2312,13,PGN
5,6,7,2476,GM,Vasanthan Perumal Vishnu Prasanna,0 - 1,IM,Rithvik R Raja,2408,12,PGN
6,7,8,2371,FM,Singhania Vatsal,0 - 1,GM,Gukesh D,2578,11,PGN
7,8,9,2478,IM,Krishna Crg,0 - 1,GM,Sekhar Ganguly Surya,2625,10,PGN
8,9,1,2463,IM,Srivatshav Peddi Rahul,0,,bye,0,-1,
9,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
10,1,11,2578,GM,Gukesh D,1 - 0,IM,Krishna Crg,2478,9,PGN
11,2,12,2408,IM,Rithvik R Raja,1 - 0,FM,Singhania Vatsal,2371,8,PGN
12,3,13,2312,IM,Krishnan P Saravana,1 - 0,GM,Vasanthan Perumal Vishnu Prasanna,2476,7,PGN
13,4,14,2527,GM,Sengupta Deep,1 - 0,IM,Swaminathan Soumya,2351,6,PGN
14,5,15,2644,GM,S.p Sethuraman,½ - ½,GM,S.L Narayanan,2624,5,PGN
15,6,16,2660,GM,Baskaran Adhiban,0 - 1,GM,P Iniyan,2506,4,PGN
16,7,17,2305,FM,Vinay Kumar Matta,0 - 1,IM,Mittal Aditya,2438,3,PGN
17,8,1,2463,IM,Srivatshav Peddi Rahul,1 - 0,IM,S. Nitin,2381,2,PGN
18,9,10,2625,GM,Sekhar Ganguly Surya,0,,bye,0,-1,
19,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
20,1,3,2438,IM,Mittal Aditya,1 - 0,IM,Srivatshav Peddi Rahul,2463,1,PGN
21,2,4,2506,GM,P Iniyan,1 - 0,FM,Vinay Kumar Matta,2305,17,PGN
22,3,5,2624,GM,S.L Narayanan,½ - ½,GM,Baskaran Adhiban,2660,16,PGN
23,4,6,2351,IM,Swaminathan Soumya,0 - 1,GM,S.p Sethuraman,2644,15,PGN
24,5,7,2476,GM,Vasanthan Perumal Vishnu Prasanna,0 - 1,GM,Sengupta Deep,2527,14,PGN
25,6,8,2371,FM,Singhania Vatsal,0 - 1,IM,Krishnan P Saravana,2312,13,PGN
26,7,9,2478,IM,Krishna Crg,0 - 1,IM,Rithvik R Raja,2408,12,PGN
27,8,10,2625,GM,Sekhar Ganguly Surya,0 - 1,GM,Gukesh D,2578,11,PGN
28,9,2,2381,IM,S. Nitin,0,,bye,0,-1,
29,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
30,1,12,2408,IM,Rithvik R Raja,0 - 1,GM,Sekhar Ganguly Surya,2625,10,PGN
31,2,13,2312,IM,Krishnan P Saravana,0 - 1,IM,Krishna Crg,2478,9,PGN
32,3,14,2527,GM,Sengupta Deep,1 - 0,FM,Singhania Vatsal,2371,8,PGN
33,4,15,2644,GM,S.p Sethuraman,1 - 0,GM,Vasanthan Perumal Vishnu Prasanna,2476,7,PGN
34,5,16,2660,GM,Baskaran Adhiban,1 - 0,IM,Swaminathan Soumya,2351,6,PGN
35,6,17,2305,FM,Vinay Kumar Matta,0 - 1,GM,S.L Narayanan,2624,5,PGN
36,7,1,2463,IM,Srivatshav Peddi Rahul,1 - 0,GM,P Iniyan,2506,4,PGN
37,8,2,2381,IM,S. Nitin,1 - 0,IM,Mittal Aditya,2438,3,PGN
38,9,11,2578,GM,Gukesh D,0,,bye,0,-1,
39,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
40,1,4,2506,GM,P Iniyan,1 - 0,IM,S. Nitin,2381,2,PGN
