,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
0,1,1,GER,0,,,"Steinbach,Almut",0,,bye,,,0,-1
1,2,3,BEL,0,,,"Slot,Wilhelm",½ - ½,,"Braams,Herbert",,GER,0,2
2,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
3,1,2,GER,0,,,"Braams,Herbert",0,,bye,,,0,-1
4,2,1,GER,0,,,"Steinbach,Almut",0 - 1,,"Slot,Wilhelm",,BEL,0,3
5,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
6,1,3,BEL,0,,,"Slot,Wilhelm",0,,bye,,,0,-1
7,2,2,GER,0,,,"Braams,Herbert",1 - 0,,"Steinbach,Almut",,GER,0,1
8,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
9,1,1,GER,0,,,"Steinbach,Almut",0,,bye,,,0,-1
10,2,2,GER,0,,,"Braams,Herbert",1 - 0,,"Slot,Wilhelm",,BEL,0,3
11,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
12,1,2,GER,0,,,"Braams,Herbert",0,,bye,,,0,-1
13,2,3,BEL,0,,,"Slot,Wilhelm",0 - 1,,"Steinbach,Almut",,GER,0,1
14,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
15,1,3,BEL,0,,,"Slot,Wilhelm",0,,bye,,,0,-1
16,2,1,GER,0,,,"Steinbach,Almut",0 - 1,,"Braams,Herbert",,GER,0,2
17,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
18,1,1,GER,0,,,"Steinbach,Almut",0,,bye,,,0,-1
19,2,3,BEL,0,,,"Slot,Wilhelm",½ - ½,,"Braams,Herbert",,GER,0,2
20,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
21,1,2,GER,0,,,"Braams,Herbert",0,,bye,,,0,-1
22,2,1,GER,0,,,"Steinbach,Almut",½ - ½,,"Slot,Wilhelm",,BEL,0,3
23,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
24,1,3,BEL,0,,,"Slot,Wilhelm",0,,bye,,,0,-1
25,2,2,GER,0,,,"Braams,Herbert",1 - 0,,"Steinbach,Almut",,GER,0,1
