,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
0,1,1,1937,WIM,San Diego Marie Antoinette,1 - 0,WNM,Tejada Rizalyn Jasmine,1640,10,PGN
1,2,2,2102,WGM,Frayna Janelle Mae,1 - 0,WFM,Mejia Cherry Ann,1962,9,PGN
2,3,3,2045,WIM,Fronda Jan Jodilyn,0 - 1,,Villa Ma. Elayza,1468,8,PGN
3,4,4,2023,WIM,Galas Bernadette,½ - ½,AGM,Acedo Rowelyn,1782,7,PGN
4,5,5,1969,WFM,Mendoza Shania Mae,0 - 1,WNM,Magpily Francois Marie,1808,6,PGN
5,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
6,1,10,1640,WNM,Tejada Rizalyn Jasmine,0 - 1,WNM,Magpily Francois Marie,1808,6,PGN
7,2,7,1782,AGM,Acedo Rowelyn,1 - 0,WFM,Mendoza Shania Mae,1969,5,PGN
8,3,8,1468,,Villa Ma. Elayza,½ - ½,WIM,Galas Bernadette,2023,4,PGN
9,4,9,1962,WFM,Mejia Cherry Ann,½ - ½,WIM,Fronda Jan Jodilyn,2045,3,PGN
10,5,1,1937,WIM,San Diego Marie Antoinette,½ - ½,WGM,Frayna Janelle Mae,2102,2,PGN
11,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
12,1,2,2102,WGM,Frayna Janelle Mae,1 - 0,WNM,Tejada Rizalyn Jasmine,1640,10,PGN
13,2,3,2045,WIM,Fronda Jan Jodilyn,½ - ½,WIM,San Diego Marie Antoinette,1937,1,PGN
14,3,4,2023,WIM,Galas Bernadette,½ - ½,WFM,Mejia Cherry Ann,1962,9,PGN
15,4,5,1969,WFM,Mendoza Shania Mae,½ - ½,,Villa Ma. Elayza,1468,8,PGN
16,5,6,1808,WNM,Magpily Francois Marie,1 - 0,AGM,Acedo Rowelyn,1782,7,PGN
17,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
18,1,10,1640,WNM,Tejada Rizalyn Jasmine,1 - 0,AGM,Acedo Rowelyn,1782,7,PGN
19,2,8,1468,,Villa Ma. Elayza,½ - ½,WNM,Magpily Francois Marie,1808,6,PGN
20,3,9,1962,WFM,Mejia Cherry Ann,1 - 0,WFM,Mendoza Shania Mae,1969,5,PGN
21,4,1,1937,WIM,San Diego Marie Antoinette,½ - ½,WIM,Galas Bernadette,2023,4,PGN
22,5,2,2102,WGM,Frayna Janelle Mae,½ - ½,WIM,Fronda Jan Jodilyn,2045,3,PGN
23,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
24,1,3,2045,WIM,Fronda Jan Jodilyn,1 - 0,WNM,Tejada Rizalyn Jasmine,1640,10,PGN
25,2,4,2023,WIM,Galas Bernadette,0 - 1,WGM,Frayna Janelle Mae,2102,2,PGN
26,3,5,1969,WFM,Mendoza Shania Mae,½ - ½,WIM,San Diego Marie Antoinette,1937,1,PGN
27,4,6,1808,WNM,Magpily Francois Marie,1 - 0,WFM,Mejia Cherry Ann,1962,9,PGN
28,5,7,1782,AGM,Acedo Rowelyn,0 - 1,,Villa Ma. Elayza,1468,8,PGN
29,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
30,1,10,1640,WNM,Tejada Rizalyn Jasmine,½ - ½,,Villa Ma. Elayza,1468,8,PGN
31,2,9,1962,WFM,Mejia Cherry Ann,½ - ½,AGM,Acedo Rowelyn,1782,7,PGN
32,3,1,1937,WIM,San Diego Marie Antoinette,½ - ½,WNM,Magpily Francois Marie,1808,6,PGN
