,Bo.,No., ,,Name,FED,Rtg,Pts.,Result,Pts.,,Name,FED,Rtg, ,No.
0,1,90,,GM,Corrales Jimenez Fidel,USA,2555,0,0 - 1,0,GM,Carlsen Magnus,NOR,2892,,1
1,2,2,,GM,Nakamura Hikaru,USA,2884,0,½ - ½,0,IM,Berchtenbreiter Maximilian,GER,2552,,91
2,3,92,,GM,Najer Evgeniy,CFR,2551,0,½ - ½,0,GM,Artemiev Vladislav,CFR,2830,,3
3,4,4,,GM,Firouzja Alireza,FRA,2810,0,0 - 1,0,GM,Gareyev Timur,USA,2548,,93
4,5,94,,GM,Volokitin Andrei,UKR,2547,0,½ - ½,0,GM,Caruana Fabiano,USA,2803,,5
5,6,6,,GM,Duda Jan-Krzysztof,POL,2792,0,1 - 0,0,GM,Chigaev Maksim,CFR,2546,,95
6,7,96,,GM,Ponkratov Pavel,CFR,2546,0,½ - ½,0,GM,Nepomniachtchi Ian,CFR,2792,,7
7,8,8,,GM,Vachier-Lagrave Maxime,FRA,2787,0,1 - 0,0,GM,Krasenkow Michal,POL,2543,,97
8,9,98,,GM,Saric Ivan,CRO,2543,0,½ - ½,0,GM,Giri Anish,NED,2778,,9
9,10,10,,GM,Erigaisi Arjun,IND,2765,0,½ - ½,0,GM,Czarnota Pawel,POL,2540,,99
10,11,100,,GM,Gajewski Grzegorz,POL,2539,0,0 - 1,0,GM,Grischuk Alexander,CFR,2757,,11
11,12,12,,GM,Mamedyarov Shakhriyar,AZE,2754,0,1 - 0,0,GM,Sargsyan Shant,ARM,2537,,101
12,13,102,,GM,Jumabayev Rinat,KAZ,2536,0,½ - ½,0,GM,Rapport Richard,HUN,2754,,13
13,14,14,,GM,Dubov Daniil,CFR,2749,0,- - +,0,GM,Piorun Kacper,POL,2535,,103
14,15,104,,GM,Vakhidov Jakhongir,UZB,2534,0,0 - 1,0,GM,Aronian Levon,USA,2740,,15
15,16,16,,GM,Wojtaszek Radoslaw,POL,2730,0,½ - ½,0,GM,Kobalia Mikhail,CFR,2532,,105
16,17,106,,GM,Demchenko Anton,CFR,2531,0,1 - 0,0,GM,Ghaem Maghami Ehsan,IRI,2720,,17
17,18,18,,GM,Korobov Anton,UKR,2710,0,½ - ½,0,GM,Dvirnyy Danyyil,ITA,2531,,107
18,19,108,,GM,Shoker Samy,EGY,2529,0,0 - 1,0,GM,Martirosyan Haik M.,ARM,2707,,19
19,20,20,,GM,Nihal Sarin,IND,2705,0,1 - 0,0,GM,Kovalev Vladislav,FID,2527,,109
20,21,110,,IM,Schneider Ilja,GER,2524,0,0 - 1,0,GM,Shevchenko Kirill,UKR,2697,,21
21,22,22,,GM,Fedoseev Vladimir,CFR,2690,0,1 - 0,0,GM,Postny Evgeny,ISR,2521,,111
22,23,112,,GM,Van Foreest Lucas,NED,2521,0,1 - 0,0,GM,Heimann Andreas,GER,2690,,23
23,24,24,,GM,Jobava Baadur,GEO,2689,0,0 - 1,0,GM,Riazantsev Alexander,CFR,2520,,113
24,25,114,,GM,Tazbir Marcin,POL,2518,0,0 - 1,0,GM,Abdusattorov Nodirbek,UZB,2686,,25
25,26,26,,GM,Mamedov Rauf,AZE,2686,0,1 - 0,0,GM,Kantor Gergely,HUN,2517,,115
26,27,116,,GM,Carlsson Pontus,SWE,2516,0,1 - 0,0,GM,Niemann Hans Moke,USA,2680,,27
27,28,28,,GM,Sarana Alexey,CFR,2672,0,1 - 0,0,IM,Janik Igor,POL,2516,,117
28,29,118,,GM,Yuffa Daniil,ESP,2508,0,½ - ½,0,GM,Anton Guijarro David,ESP,2668,,29
29,30,30,,GM,Alekseenko Kirill,CFR,2663,0,1 - 0,0,GM,Gukesh D,IND,2506,,119
30,31,120,,GM,Suleymanli Aydin,AZE,2506,0,0 - 1,0,GM,Fridman Daniel,GER,2663,,31
31,32,32,,GM,Sargissian Gabriel,ARM,2661,0,0 - 1,0,GM,Sanal Vahap,TUR,2499,,121
32,33,122,,GM,Donchenko Alexander,GER,2494,0,½ - ½,0,GM,Quparadze Giga,GEO,2658,,33
33,34,34,,GM,Karjakin Sergey,CFR,2657,0,1 - 0,0,GM,Bellahcene Bilel,ALG,2493,,123
34,35,124,,GM,Moroni Luca Jr,ITA,2491,0,0 - 1,0,GM,Onyshchuk Volodymyr,UKR,2657,,35
35,36,36,,GM,Adly Ahmed,EGY,2656,0,1 - 0,0,IM,Costachi Mihnea,ROU,2482,,125
36,37,126,,IM,Murzin Volodar,CFR,2481,0,1 - 0,0,GM,Paravyan David,CFR,2656,,37
37,38,38,,GM,Tari Aryan,NOR,2656,0,0 - 1,0,IM,Saraci Nderim,KOS,2479,,127
38,39,128,,IM,Kolosowski Mateusz,POL,2474,0,½ - ½,0,GM,Maghsoodloo Parham,IRI,2655,,39
39,40,40,,GM,Gelfand Boris,ISR,2647,0,½ - ½,0,GM,Bologan Victor,MDA,2472,,129
40,41,130,,GM,Kadric Denis,BIH,2469,0,1 - 0,0,GM,Howell David W L,ENG,2647,,41
41,42,42,,GM,Petrosyan Manuel,ARM,2643,0,½ - ½,0,GM,Parligras Mircea-Emilian,ROU,2469,,131
42,43,132,,GM,Dziuba Marcin,POL,2452,0,0 - 1,0,GM,Svane Rasmus,GER,2643,,43
43,44,44,,GM,Salem A.R. Saleh,UAE,2642,0,0 - 1,0,GM,Sindarov Javokhir,UZB,2452,,133
44,45,134,,GM,Kozak Adam,HUN,2448,0,0 - 1,0,GM,Dreev Aleksey,CFR,2641,,45
45,46,46,,GM,Bartel Mateusz,POL,2638,0,½ - ½,0,GM,Nguyen Thai Dai Van,CZE,2446,,135
46,47,136,,GM,Klekowski Maciej,POL,2444,0,½ - ½,0,GM,Kravtsiv Martyn,UKR,2638,,47
47,48,48,,GM,Zvjaginsev Vadim,CFR,2634,0,1 - 0,0,GM,Zilka Stepan,CZE,2440,,137
