,Bo.,No.,Name,Result,Name,No.
0,1,1,"Aziz,Samir",1 - 0,"Leferink,Toine",10
1,2,2,"Schäfer,Gerhard",1 - 0,"Föllmi,Markus",9
2,3,3,"Dockx,Michel",1 - 0,"Lietz,Helmuth",8
3,4,4,"Klyszcz,Manfred",1 - 0,"Brown,Stephen",7
4,5,5,"Schmitz,Günter",1 - 0,"Kunze,Manfred",6
5,Bo.,No.,Name,Result,Name,No.
6,1,10,"Leferink,Toine",½ - ½,"Kunze,Manfred",6
7,2,7,"Brown,Stephen",0 - 1,"Schmitz,Günter",5
8,3,8,"Lietz,Helmuth",0 - 1,"Klyszcz,Manfred",4
9,4,9,"Föllmi,Markus",0 - 1,"Dockx,Michel",3
10,5,1,"Aziz,Samir",1 - 0,"Schäfer,Gerhard",2
11,Bo.,No.,Name,Result,Name,No.
12,1,2,"Schäfer,Gerhard",1 - 0,"Leferink,Toine",10
13,2,3,"Dockx,Michel",0 - 1,"Aziz,Samir",1
14,3,4,"Klyszcz,Manfred",1 - 0,"Föllmi,Markus",9
15,4,5,"Schmitz,Günter",0 - 1,"Lietz,Helmuth",8
16,5,6,"Kunze,Manfred",0 - 1,"Brown,Stephen",7
17,Bo.,No.,Name,Result,Name,No.
18,1,10,"Leferink,Toine",0 - 1,"Brown,Stephen",7
19,2,8,"Lietz,Helmuth",1 - 0,"Kunze,Manfred",6
20,3,9,"Föllmi,Markus",0 - 1,"Schmitz,Günter",5
21,4,1,"Aziz,Samir",0 - 1,"Klyszcz,Manfred",4
22,5,2,"Schäfer,Gerhard",0 - 1,"Dockx,Michel",3
23,Bo.,No.,Name,Result,Name,No.
24,1,3,"Dockx,Michel",0 - 1,"Leferink,Toine",10
25,2,4,"Klyszcz,Manfred",0 - 1,"Schäfer,Gerhard",2
26,3,5,"Schmitz,Günter",0 - 1,"Aziz,Samir",1
27,4,6,"Kunze,Manfred",1 - 0,"Föllmi,Markus",9
28,5,7,"Brown,Stephen",0 - 1,"Lietz,Helmuth",8
29,Bo.,No.,Name,Result,Name,No.
30,1,10,"Leferink,Toine",½ - ½,"Lietz,Helmuth",8
31,2,9,"Föllmi,Markus",1 - 0,"Brown,Stephen",7
32,3,1,"Aziz,Samir",1 - 0,"Kunze,Manfred",6
33,4,2,"Schäfer,Gerhard",1 - 0,"Schmitz,Günter",5
34,5,3,"Dockx,Michel",1 - 0,"Klyszcz,Manfred",4
35,Bo.,No.,Name,Result,Name,No.
36,1,4,"Klyszcz,Manfred",1 - 0,"Leferink,Toine",10
37,2,5,"Schmitz,Günter",1 - 0,"Dockx,Michel",3
38,3,6,"Kunze,Manfred",1 - 0,"Schäfer,Gerhard",2
39,4,7,"Brown,Stephen",0 - 1,"Aziz,Samir",1
40,5,8,"Lietz,Helmuth",1 - 0,"Föllmi,Markus",9
41,Bo.,No.,Name,Result,Name,No.
42,1,10,"Leferink,Toine",½ - ½,"Föllmi,Markus",9
43,2,1,"Aziz,Samir",0 - 1,"Lietz,Helmuth",8
44,3,2,"Schäfer,Gerhard",½ - ½,"Brown,Stephen",7
45,4,3,"Dockx,Michel",1 - 0,"Kunze,Manfred",6
46,5,4,"Klyszcz,Manfred",0 - 1,"Schmitz,Günter",5
47,Bo.,No.,Name,Result,Name,No.
48,1,5,"Schmitz,Günter",1 - 0,"Leferink,Toine",10
49,2,6,"Kunze,Manfred",0 - 1,"Klyszcz,Manfred",4
50,3,7,"Brown,Stephen",0 - 1,"Dockx,Michel",3
51,4,8,"Lietz,Helmuth",1 - 0,"Schäfer,Gerhard",2
52,5,9,"Föllmi,Markus",½ - ½,"Aziz,Samir",1
