,Bo.,No.,,Name,Result,,Name,No.
0,1,1,,"Merrifield,Peter",0,,bye,-1
1,2,2,,"Slot,Wilhelm",1 - 0,,"Tast-Mendez,Karin",3
2,Bo.,No.,,Name,Result,,Name,No.
3,1,3,,"Tast-Mendez,Karin",0,,bye,-1
4,2,1,,"Merrifield,Peter",+ - -,,"Slot,Wilhelm",2
5,Bo.,No.,,Name,Result,,Name,No.
6,1,2,,"Slot,Wilhelm",0,,bye,-1
7,2,3,,"Tast-Mendez,Karin",0 - 1,,"Merrifield,Peter",1
8,Bo.,No.,,Name,Result,,Name,No.
9,1,1,,"Merrifield,Peter",0,,bye,-1
10,2,3,,"Tast-Mendez,Karin",1 - 0,,"Slot,Wilhelm",2
11,Bo.,No.,,Name,Result,,Name,No.
12,1,3,,"Tast-Mendez,Karin",0,,bye,-1
13,2,2,,"Slot,Wilhelm",1 - 0,,"Merrifield,Peter",1
14,Bo.,No.,,Name,Result,,Name,No.
15,1,2,,"Slot,Wilhelm",0,,bye,-1
16,2,1,,"Merrifield,Peter",1 - 0,,"Tast-Mendez,Karin",3
17,Bo.,No.,,Name,Result,,Name,No.
18,1,1,,"Merrifield,Peter",0,,bye,-1
19,2,2,,"Slot,Wilhelm",1 - 0,,"Tast-Mendez,Karin",3
20,Bo.,No.,,Name,Result,,Name,No.
21,1,3,,"Tast-Mendez,Karin",0,,bye,-1
22,2,1,,"Merrifield,Peter",1 - 0,,"Slot,Wilhelm",2
23,Bo.,No.,,Name,Result,,Name,No.
24,1,2,,"Slot,Wilhelm",0,,bye,-1
25,2,3,,"Tast-Mendez,Karin",0 - 1,,"Merrifield,Peter",1
