,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,,Hagner Bennet,2044,0,1 - 0,0,,Pal Rohan,1532,,20
1,2,21,,,Pallum Rasmus,1471,0,0 - 1,0,,Lavrencic Matic,2037,,2
2,3,3,,FM,Seemann Jakub,2003,0,1 - 0,0,,Soojay Jorah,1463,,22
3,4,23,,CM,Bhagat Kush,1458,0,1 - 0,0,,Podolskyi Mykhailo,1978,,4
4,5,5,,,Toktomushev Teimur,1960,0,0 - 1,0,AFM,Stathatos Alexandros,1432,,24
5,6,25,,,Dasgupta Avyukt,1424,0,½ - ½,0,,Pilshofer Paul,1957,,6
6,7,7,,,Badacsonyi Stanley,1948,0,1 - 0,0,,Van Heerden Ethan Joel,1407,,26
7,8,27,,,Quillaud Maxime,1403,0,0 - 1,0,,Kozlovic Jernej,1937,,8
8,9,9,,,Uritsky Yonathan,1922,0,1 - 0,0,,Karangad Mohit,1393,,28
9,10,29,,,Varpins Kristians,1382,0,0 - 1,0,,Assylov Miras,1891,,10
10,11,11,,,Krawczyk Flawian,1883,0,1 - 0,0,,Taladianos Ioannis,1368,,30
11,12,31,,,Ivan Austin,1324,0,0 - 1,0,,Sapenov Daniyal,1877,,12
12,13,13,,AIM,Morkunas Gustas,1868,0,1 - 0,0,,Jaramillo Rivas Renato,1286,,32
13,14,33,,,Choullis Agisilaos Georgios,1251,0,- - +,0,,Garsky Vladyslav,1855,,14
14,15,15,,,Bazilius Augustinas,1782,0,1 - 0,0,ACM,Coetsee Dewald,1218,,34
15,16,35,,,Ziegenhagen Vian Luke,1158,0,0 - 1,0,FM,Gurel Ediz,1726,,16
16,17,17,,,Antoniou Rafail,1653,0,½ - ½,0,,Glavac Leo,1143,,36
17,18,37,,,Cwiklik Julian,1070,0,0 - 1,0,,Kos Nikola,1628,,18
18,19,19,,ACM,Whelan Joseph,1549,0,1 - 0,0,,Tsimplis Panagiotis,1045,,38
