,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
0,1,1,2556,,GM,Kantor Gergely,1 - 0,GM,Khamrakulov Djurabek,,2497,10,PGN
1,2,2,2432,,,Zeltsan Joseph,0 - 1,FM,Sethuraman Sandeep,,2336,9,PGN
2,3,3,2451,,GM,Paragua Mark,½ - ½,IM,Sarkar Justin,,2355,8,PGN
3,4,4,2301,,FM,Poliannikov Danila,0 - 1,FM,Chen Justin,,2325,7,PGN
4,5,5,2221,,,Xu Grant,½ - ½,IM,Korley Kassa,,2460,6,PGN
5,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
6,1,10,2497,,GM,Khamrakulov Djurabek,½ - ½,IM,Korley Kassa,,2460,6,PGN
7,2,7,2325,,FM,Chen Justin,1 - 0,,Xu Grant,,2221,5,PGN
8,3,8,2355,,IM,Sarkar Justin,1 - 0,FM,Poliannikov Danila,,2301,4,PGN
9,4,9,2336,,FM,Sethuraman Sandeep,½ - ½,GM,Paragua Mark,,2451,3,PGN
10,5,1,2556,,GM,Kantor Gergely,½ - ½,,Zeltsan Joseph,,2432,2,PGN
11,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
12,1,2,2432,,,Zeltsan Joseph,0 - 1,GM,Khamrakulov Djurabek,,2497,10,PGN
13,2,3,2451,,GM,Paragua Mark,½ - ½,GM,Kantor Gergely,,2556,1,PGN
14,3,4,2301,,FM,Poliannikov Danila,1 - 0,FM,Sethuraman Sandeep,,2336,9,PGN
15,4,5,2221,,,Xu Grant,½ - ½,IM,Sarkar Justin,,2355,8,PGN
16,5,6,2460,,IM,Korley Kassa,½ - ½,FM,Chen Justin,,2325,7,PGN
17,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
18,1,10,2497,,GM,Khamrakulov Djurabek,½ - ½,FM,Chen Justin,,2325,7,PGN
19,2,8,2355,,IM,Sarkar Justin,½ - ½,IM,Korley Kassa,,2460,6,PGN
20,3,9,2336,,FM,Sethuraman Sandeep,1 - 0,,Xu Grant,,2221,5,PGN
21,4,1,2556,,GM,Kantor Gergely,1 - 0,FM,Poliannikov Danila,,2301,4,PGN
22,5,2,2432,,,Zeltsan Joseph,0 - 1,GM,Paragua Mark,,2451,3,PGN
23,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
24,1,3,2451,,GM,Paragua Mark,½ - ½,GM,Khamrakulov Djurabek,,2497,10,PGN
25,2,4,2301,,FM,Poliannikov Danila,0 - 1,,Zeltsan Joseph,,2432,2,PGN
26,3,5,2221,,,Xu Grant,0 - 1,GM,Kantor Gergely,,2556,1,PGN
27,4,6,2460,,IM,Korley Kassa,½ - ½,FM,Sethuraman Sandeep,,2336,9,PGN
28,5,7,2325,,FM,Chen Justin,½ - ½,IM,Sarkar Justin,,2355,8,PGN
29,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
30,1,10,2497,,GM,Khamrakulov Djurabek,1 - 0,IM,Sarkar Justin,,2355,8,PGN
31,2,9,2336,,FM,Sethuraman Sandeep,½ - ½,FM,Chen Justin,,2325,7,PGN
32,3,1,2556,,GM,Kantor Gergely,½ - ½,IM,Korley Kassa,,2460,6,PGN
33,4,2,2432,,,Zeltsan Joseph,1 - 0,,Xu Grant,,2221,5,PGN
34,5,3,2451,,GM,Paragua Mark,1 - 0,FM,Poliannikov Danila,,2301,4,PGN
35,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
36,1,4,2301,,FM,Poliannikov Danila,0 - 1,GM,Khamrakulov Djurabek,,2497,10,PGN
37,2,5,2221,,,Xu Grant,1 - 0,GM,Paragua Mark,,2451,3,PGN
38,3,6,2460,,IM,Korley Kassa,½ - ½,,Zeltsan Joseph,,2432,2,PGN
39,4,7,2325,,FM,Chen Justin,0 - 1,GM,Kantor Gergely,,2556,1,PGN
40,5,8,2355,,IM,Sarkar Justin,0 - 1,FM,Sethuraman Sandeep,,2336,9,PGN
41,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
42,1,10,2497,,GM,Khamrakulov Djurabek,½ - ½,FM,Sethuraman Sandeep,,2336,9,PGN
43,2,1,2556,,GM,Kantor Gergely,1 - 0,IM,Sarkar Justin,,2355,8,PGN
44,3,2,2432,,,Zeltsan Joseph,1 - 0,FM,Chen Justin,,2325,7,PGN
45,4,3,2451,,GM,Paragua Mark,1 - 0,IM,Korley Kassa,,2460,6,PGN
46,5,4,2301,,FM,Poliannikov Danila,1 - 0,,Xu Grant,,2221,5,PGN
47,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
48,1,5,2221,,,Xu Grant,½ - ½,GM,Khamrakulov Djurabek,,2497,10,PGN
49,2,6,2460,,IM,Korley Kassa,1 - 0,FM,Poliannikov Danila,,2301,4,PGN
50,3,7,2325,,FM,Chen Justin,0 - 1,GM,Paragua Mark,,2451,3,PGN
51,4,8,2355,,IM,Sarkar Justin,½ - ½,,Zeltsan Joseph,,2432,2,PGN
52,5,9,2336,,FM,Sethuraman Sandeep,½ - ½,GM,Kantor Gergely,,2556,1,PGN
