,Bo.,No., ,,Name,Bdld,Gr,Typ,FED,Rtg,Club/City,Pts.,Result,Pts.,,Name,Bdld,Gr,Typ,FED,Rtg,Club/City, ,No.
0,1,248,,,Sathvik Gulakaram,,,U09,IND,1080,Tg,0,0 - 1,0,GM,Thejkumar M. S.,,,,IND,2290,Ka,,1
1,2,2,,GM,Mitrabha Guha,,,,IND,2268,Wb,0,- - +,0,,Katta Venkata Nagadurga Prasad,,,,IND,1079,Ap,,249
2,3,250,,,Saiprabhanjan Konduru,,,U15,IND,1074,Ap,0,+ - -,0,IM,Girinath P.D.S.,,,,IND,2261,Tg,,3
3,4,4,,GM,Laxman R.R.,,,,IND,2247,I  C F,0,1 - 0,0,,Amarathunga Kosala Sandeepa Chamikara,,,U15,SRI,1071,Sri Lanka,,251
4,5,252,,,Challa Karthik,,,,IND,1071,Ap,0,0 - 1,0,IM,Ravi Teja S.,,,,IND,2204,Andrapradesh,,5
5,6,6,,IM,Raahul V S,,,,IND,2203,Tn,0,1 - 0,0,,Nandan M M B,,,U11,IND,1071,Ka,,253
6,7,254,,,Dhivya B,,,F09,IND,1069,Tn,0,0 - 1,0,GM,Bharath Subramaniyam H,,,U15,IND,2174,Tn,,7
7,8,8,,FM,Gunasekaran K.,,T,,IND,2104,Tn,0,1 - 0,0,,Durga Sai Kumar,,,,IND,1067,Ap,,255
8,9,256,,,Andabatla Satvik,,,U11,IND,1058,Tg,0,0 - 1,0,IM,Krishna Teja N,,,,IND,2099,Andrapradesh,,9
9,10,10,,,Prasannaa.S,,,,IND,2086,Tn,0,1 - 0,0,,Durga Prasad Y,,,,IND,1052,Ap,,257
10,11,258,,,Mohana Parvathala,,,,IND,1050,Ap,0,0 - 1,0,IM,Ravi Thandalam Shanmugam,,,,IND,2058,Tn,,11
11,12,12,,IM,Rahul Srivatshav P,,,,IND,2027,Tg,0,1 - 0,0,ACM,Muthyala Gurunadham,,T,U15,IND,1045,Andrapradesh,,259
12,13,260,,,Manitejapatnam,,,U15,IND,1042,Ap,0,0 - 1,0,CM,Jain Naveen,,T,,IND,1994,Dl,,13
13,14,14,,,Shiva Pavan Teja Sharma U,,,,IND,1986,Ap,0,1 - 0,0,,Kalikiri Latish Reddy,,,U13,IND,1041,Ap,,261
14,15,262,,,Maddipatla Vamsi Krishna,,,,IND,1039,Ap,0,+ - -,0,,Rao J. Malleswara,,,,IND,1942,Ap,,15
15,16,16,,,Kumar A.,,,,IND,1929,Tg,0,1 - 0,0,,Raja Vardhan Chitrada,,,U11,IND,1039,Ap,,263
16,17,264,,,Aamuktha Guntaka,,,F11,IND,1035,Ap,0,0 - 1,0,,Priyankara Chamil,,,,SRI,1928,Sri Lanka,,17
17,18,18,,,Nikhil M,,,,IND,1921,Ap,0,1 - 0,0,,Sai Srinivasa Asrith Makineedi,,,U11,IND,1033,Ap,,265
18,19,266,,,Manda Rama Mohan Rao,,,S55,IND,1032,Tg,0,0 - 1,0,,Barath Kalyan M,,,,IND,1895,Tn,,19
19,20,20,,IM,Ramnathan Balasubramaniam,,,,IND,1874,Tn,0,1 - 0,0,,Mangala Megha Sandesh,,,U13,IND,1031,Ap,,267
20,21,268,,,Susanta Sarma H S V S K S H,,,U11,IND,1028,Ap,0,0 - 1,0,AIM,Md Imran,,T,U13,IND,1859,Andrapradesh,,21
21,22,270,,,Jampana Lakshmi Tejaswi,,,F15,IND,1022,Ap,0,0 - 1,0,AIM,Sooraj M R,,T,,IND,1836,Kl,,23
22,23,272,,,Shlok Vinay Kulkarni,,,U11,IND,1022,Ka,0,0 - 1,0,,Niranjan Mocharla,,,,IND,1810,Ap,,25
23,24,26,,,Ranjith R.K.,,,,IND,1804,Tn,0,1 - 0,0,,Panda Bhimsen,,,,IND,1019,Or,,273
24,25,274,,,Jaswanth M,,,U15,IND,1011,Ap,0,0 - 1,0,,Madanasri Gundala,,W,,IND,1781,Tg,,27
25,26,28,,,Raghav Srivathsav V,,,,IND,1762,Tg,0,1 - 0,0,,Navneet S,,,U15,IND,1006,Tn,,275
26,27,276,,,Katta Kaushal,,,U11,IND,1004,Ap,0,0 - 1,0,,Saranya Y,,W,,IND,1756,Tn,,29
27,28,30,,,Srinivasa Rao G.V.,,,S55,IND,1747,Ap,0,1 - 0,0,ACM,Venkata Naga Karthik Malladi,,T,U09,IND,0,Ka,,277
28,29,278,,,Aadhyan Kukudala,,,U09,IND,0,Tg,0,0 - 1,0,,Prudhvi Kumar V,,,,IND,1738,Ap,,31
29,30,32,,,Raj Kumar Ray,,,S55,IND,1729,Or,0,1 - 0,0,,Aaryaa Anupama,,,F07,IND,0,Ka,,279
30,31,280,,,Addagarla Puja Sri,,,F09,IND,0,Andrapradesh,0,+ - -,0,,Nikam Ravindra,,,,IND,1710,Mh,,33
31,32,34,,AGM,Prashanth J Naik,,T,,IND,1708,Ka,0,1 - 0,0,,Akshara Sree G,,,F09,IND,0,Tn,,281
32,33,282,,,Alekya R,,W,,IND,0,Andrapradesh,0,0 - 1,0,,Chakravarthi S.V.C.,,,S55,IND,1708,Tg,,35
33,34,36,,,Gopinadh M,,,,IND,1703,Ap,0,1 - 0,0,,Ampabathuni Sri Ram Sai Goutham,,,,IND,0,Andrapradesh,,283
34,35,284,,,Amrithavarshini V,,,F13,IND,0,Andaman Nicobar,0,- - +,0,AIM,Sudhir Kumar Behera,,T,S55,IND,1681,Or,,37
35,36,38,,WFM,Toshali V,,T/W,,IND,1662,Andrapradesh,0,1 - 0,0,,Aravind S,,,U11,IND,0,Tn,,285
36,37,286,,,Ariga Mohith Sai,,,U11,IND,0,Andrapradesh,0,+ - -,0,,Mandar Mohan Sane,,,,IND,1662,Mh,,39
37,38,40,,,Krishna Karthik N,,,,IND,1661,Tg,0,- - -,0,,Arni Arjun Sagar,,,U13,IND,0,Andrapradesh,,287
38,39,288,,,Arrin Parthasarathy,,,U11,IND,0,Tn,0,+ - -,0,,Phani Kanuri,,,,IND,1645,Ap,,41
39,40,42,,,Shanmukha Pulli,,,,IND,1628,Tg,0,1 - 0,0,,Ashok Kumar Golla,,,,IND,0,Andrapradesh,,289
40,41,290,,,Asmitha Animi,,,F11,IND,0,Andrapradesh,0,0 - 1,0,,Gyana Sai Santhosh M,,,U15,IND,1625,Ap,,43
41,42,44,,WIM,Bommini Mounika Akshaya,,W,,IND,1623,Andrapradesh,0,- - +,0,,Atmakuri Dimple Sriya,,,F15,IND,0,Andrapradesh,,291
42,43,292,,,Atmakuru Degun Chand,,,U13,IND,0,Andrapradesh,0,0 - 1,0,,Noohu M.J.,,,S55,IND,1612,Tn,,45
43,44,46,,,Sameer Kumar Y,,,,IND,1600,Tg,0,1 - 0,0,,Avinash S P,,,U13,IND,0,Tn,,293
44,45,294,,,Ayaanraj Kottapally,,,U07,IND,0,Tg,0,0 - 1,0,,Sham R,,,,IND,1586,Tn,,47
45,46,48,,,Tamizh Selvan Ganesan,,,,IND,1579,Tn,0,1 - 0,0,,Balaji T M,,,,IND,0,Andrapradesh,,295
46,47,296,,,Balakrishnan M,,,,IND,0,Tn,0,0 - 1,0,,Sarma R S R,,,S55,IND,1562,Ap,,49
47,48,50,,,Gopala Krishna B V,,,S55,IND,1548,Ap,0,1 - 0,0,,Bandla Aashritha,,,F09,IND,0,Tg,,297
48,49,298,,,Banoth Gowtham,,,U11,IND,0,Tg,0,- - +,0,,Sailesh R,,,,IND,1539,Tn,,51
49,50,52,,,Nidheshpa S,,,,IND,1538,Tn,0,1 - 0,0,,Bantupilli Mourya Karthik,,,U11,IND,0,Andrapradesh,,299
50,51,300,,,Bathina Mokshatra Sri Abhiram,,,U11,IND,0,Andrapradesh,0,0 - 1,0,,Manikandan J,,,,IND,1524,Tn,,53
51,52,54,,,Sivathanujan S,,,,SRI,1522,Sri Lanka,0,1 - 0,0,,Battaram Sai Samhit Kumar,,,U09,IND,0,Andrapradesh,,301
52,53,302,,,Battaram Sai Saravana Kumar,,,U13,IND,0,Andrapradesh,0,0 - 1,0,,Praveen Kamath,,,,IND,1517,Ka,,55
53,54,56,,,Diwakar V U,,,S55,IND,1511,Ap,0,1 - 0,0,,Behera Somnath,,,,IND,0,Or,,303
54,55,304,,,Bhaskar Kukudala,,,,IND,0,Tg,0,0 - 1,0,,Gnanaseelan Jude Dorison,,,,SRI,1509,Sri Lanka,,57
55,56,307,,,Bhavyasree Kallakuri,,,F13,IND,0,Andrapradesh,0,- - +,0,,Gokula Vishnu R,,C,,IND,1493,Tn,,59
56,57,60,,,Thirunaga Sundaram S,,C,S55,IND,1492,Tn,0,1 - 0,0,,Billa Naveen,,,,IND,0,Andrapradesh,,308
57,58,309,,,Bolla Sruthi,,,F09,IND,0,Andrapradesh,0,0 - 1,0,,Gokulraj K,,C,,IND,1488,Tn,,61
58,59,62,,,Veenu Prasad P V,,C,,IND,1485,Ap,0,1 - 0,0,,Bolla Yaswanth,,,U11,IND,0,Andrapradesh,,310
59,60,311,,,Chakradhar Ramghat,,,U13,IND,0,Andrapradesh,0,0 - 1,0,,Muthu Palaniappan P L,,C,,IND,1479,Tn,,63
60,61,64,,,Saketh B,,C,,IND,1466,Ap,0,1 - 0,0,,Chandra Sekhar Ayinaparti,,,,IND,0,Andrapradesh,,312
61,62,313,,,Chathurya Anubham,,,F09,IND,0,Tn,0,0 - 1,0,,Harish Kumar K,,C,,IND,1465,Ap,,65
62,63,66,,,Samarateja K,,C,,IND,1465,Tg,0,1 - 0,0,,Chebrolu Shanmukesha Naga Sai,,,U15,IND,0,Andrapradesh,,314
63,64,315,,,Chilla Koushik,,,,IND,0,Andrapradesh,0,0 - 1,0,AIM,Ashwin Sairam,,T/C,U15,IND,1453,Tn,,67
64,65,68,,,Gowtham Ashok K,,C,,IND,1453,Ap,0,1 - 0,0,,Chinthaginjala Sai Sahasra,,,F09,IND,0,Andrapradesh,,316
65,66,317,,,Daksh M,,,U13,IND,0,Tn,0,0 - 1,0,,Murthy V S N,,C,S55,IND,1453,Tg,,69
66,67,70,,,Nitin M Pai,,C,,IND,1450,Kl,0,1 - 0,0,,Dandu Saanvi Reddy,,,F09,IND,0,Andrapradesh,,318
67,68,319,,,Dev Darshan Thanikachalam,,,U13,IND,0,Tn,0,0 - 1,0,,Liyanage Pesandu Rashmitha,,C,,SRI,1435,Sri Lanka,,71
68,69,72,,,Rama Mohan Rao N,,C,S55,IND,1434,Ap,0,+ - -,0,,Devanshi Nimmagadda,,,F07,IND,0,Ka,,320
69,70,321,,,Dhanun Jaya Raju Vallepu,,,U11,IND,0,Andrapradesh,0,0 - 1,0,,Ramakrishna Podili Venkata,,C,,IND,1429,Ap,,73
70,71,74,,,Ravi Kumar K,,C,,IND,1421,Ap,0,1 - 0,0,,Dheeraj Sakavarapu,,,U13,IND,0,Andrapradesh,,322
