,Bo.,No., ,,Name,FED,Rtg,Pts.,Result,Pts.,,Name,FED,Rtg, ,No.,PGN
0,1,61,,IM,Galaviz Medina Sion Radamantys,MEX,2345,0,0 - 1,0,GM,Esipenko Andrey,FID,2668,,1,PGN
1,2,2,,GM,Nesterov Arseniy,FID,2567,0,½ - ½,0,FM,Abdurakhmonov Mukhammadali,UZB,2345,,62,PGN
2,3,63,,,Utsab Chatterjee,IND,2345,0,0 - 1,0,GM,Svane Frederik,GER,2566,,3,PGN
3,4,4,,GM,Mendonca Leon Luke,IND,2558,0,1 - 0,0,FM,Cappelletto Joshuaede,ITA,2337,,64,PGN
4,5,65,,IM,Raahul V S,IND,2333,0,0 - 1,0,IM,Murzin Volodar,FID,2557,,5,PGN
5,6,6,,GM,Ivic Velimir,SRB,2553,0,1 - 0,0,IM,Manish Anto Cristiano F,IND,2332,,66,PGN
6,7,67,,FM,Lux Hugo De Melo,BRA,2309,0,1 - 0,0,GM,Muradli Mahammad,AZE,2550,,7,PGN
7,8,8,,GM,Iniyan P,IND,2541,0,1 - 0,0,FM,Carlo Emanuele,ITA,2306,,68,PGN
8,9,69,,FM,Martins Bruno Andre Leite,POR,2306,0,0 - 1,0,GM,Sonis Francesco,ITA,2531,,9,PGN
9,10,10,,GM,Budisavljevic Luka,SRB,2524,0,1 - 0,0,FM,Guz Ari,ISR,2305,,70,PGN
10,11,71,,WIM,Gaal Zsoka,HUN,2298,0,0 - 1,0,GM,Batsuren Dambasuren,MGL,2522,,11,PGN
11,12,12,,IM,Seo Jung Min,SWE,2520,0,1 - 0,0,,Wartiovaara Oliver,FIN,2297,,72,PGN
12,13,73,,FM,Zemach Nadav,ISR,2293,0,0 - 1,0,IM,Davtyan Artur,ARM,2517,,13,PGN
13,14,14,,GM,Kozak Adam,HUN,2516,0,+ - -,0,FM,Flores Quillas Diego Saul Rodri,PER,2291,,74,
14,15,75,,FM,Dauw Sterre,BEL,2287,0,0 - 1,0,IM,Kacharava Nikolozi,GEO,2512,,15,PGN
15,16,16,,GM,Petkov Momchil,BUL,2511,0,½ - ½,0,FM,Vagman Roy,ISR,2274,,76,PGN
16,17,77,,FM,Bettalli Francesco,ITA,2267,0,0 - 1,0,IM,Horvath Dominik,AUT,2505,,17,PGN
17,18,18,,IM,Gadimbayli Abdulla,AZE,2499,0,1 - 0,0,IM,Ansat Aldiyar,KAZ,2262,,78,PGN
18,19,79,,FM,Nouri Alekhine,PHI,2251,0,½ - ½,0,GM,Blohberger Felix,AUT,2493,,19,PGN
19,20,20,,IM,Parkhov Yair,ISR,2484,0,½ - ½,0,,Nemeth Zalan,IRL,2247,,80,PGN
20,21,81,,FM,Oye-Stromberg Alexander,NOR,2233,0,0 - 1,0,WGM,Zhu Jiner,CHN,2484,,21,PGN
21,22,22,,IM,Samunenkov Ihor,UKR,2473,0,1 - 0,0,FM,Winkelman Albert,AUS,2229,,82,PGN
22,23,83,,CM,Avila Rodriguez Joshua Ad,MEX,2225,0,½ - ½,0,IM,Gorshtein Ido,ISR,2471,,23,PGN
23,24,24,,IM,Stefansson Vignir Vatnar,ISL,2471,0,1 - 0,0,CM,Andreev Konstantin,ITA,2206,,84,PGN
24,25,85,,,Asllani Dorian,SUI,2202,0,0 - 1,0,IM,Nogerbek Kazybek,KAZ,2467,,25,PGN
25,26,26,,IM,Kosakowski Jakub,POL,2465,0,1 - 0,0,,Casadio Niccolo`,ITA,2201,,86,PGN
26,27,87,,CM,Tan Jun Ying,MAS,2189,0,½ - ½,0,IM,Prraneeth Vuppala,IND,2451,,27,PGN
27,28,28,,IM,Ramoutar Alan-Safar,TTO,2449,0,1 - 0,0,IM,Brahami Lamine,ALG,2188,,88,PGN
28,29,89,,,Stankovic Dragan,BIH,2181,0,0 - 1,0,IM,Stoyanov Tsvetan,BUL,2449,,29,PGN
29,30,30,,IM,Neelash Saha,IND,2446,0,1 - 0,0,,Hercegovac Neven,ITA,2175,,90,PGN
30,31,91,,,Johannsson Birkir Isak,ISL,2165,0,½ - ½,0,IM,Boyer Mahel,FRA,2445,,31,PGN
31,32,32,,IM,Gurel Ediz,TUR,2445,0,1 - 0,0,FM,Atanasov Anthony,CAN,2148,,92,PGN
32,33,93,,,Cotic Borna,CRO,2133,0,0 - 1,0,,Kozak Antoni,POL,2440,,33,PGN
33,34,34,,IM,Baenziger Fabian,SUI,2439,0,1 - 0,0,,Sitbon Itay,ISR,2133,,94,PGN
34,35,95,,,Urbani Gabriel,ITA,2129,0,0 - 1,0,FM,Ghimpu Samuel-Timotei,ROU,2434,,35,PGN
35,36,36,,IM,Harshavardhan G B,IND,2433,0,1 - 0,0,,Gagic Milan A,SRB,2125,,96,PGN
36,37,97,,CM,Ballesteros Cardenas Leonardo,CHI,2121,0,1 - 0,0,IM,Olsen Filip Boe,DEN,2433,,37,PGN
37,38,38,,IM,Moksh Amit Doshi,IND,2430,0,1 - 0,0,,Gov Guy,ISR,2121,,98,PGN
38,39,99,,CM,Carroll Peter,IRL,2115,0,0 - 1,0,IM,Petriashvili Nikoloz,GEO,2428,,39,PGN
39,40,40,,FM,Droin Augustin,FRA,2416,0,1 - 0,0,,Tripodi Enzo,ITA,2113,,100,PGN
