,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.,PGN
0,1,17,,WFM,Azali Tannaz,2061,0,0 - 1,0,WGM,Antolak Julia,2387,,1,PGN
1,2,2,,WIM,Alinasab Mobina,2335,0,1 - 0,0,WFM,Naran-Erdene Naranbaatar,2055,,18,PGN
2,3,19,,,Weis Olga,2039,0,0 - 1,0,FM,Avramidou Anastasia,2320,,3,PGN
3,4,4,,WIM,Sieber Fiona,2280,0,1 - 0,0,,Tomasi Elise,2003,,20,PGN
4,5,21,,,Meszarosova Eva,1960,0,0 - 1,0,WIM,Terbe Julianna,2275,,5,PGN
5,6,6,,WIM,Alboredo Julia,2263,0,1 - 0,0,,Tsivelekidou Evgenia,1943,,22,PGN
6,7,23,,,Pellicoro Nathalie,1895,0,0 - 1,0,WIM,Sliwicka Alicja,2240,,7,PGN
7,8,8,,WIM,Kubicka Anna,2229,0,1 - 0,0,,Paktinat Zhina,1888,,24,PGN
8,9,25,,WFM,Mak Tsz Wing Cora,1611,0,0 - 1,0,WFM,Kucharska Honorata,2207,,9,PGN
9,10,10,,WFM,Terbe Zsuzsanna,2196,0,0 - 1,0,WIM,Du Plessis Anika,1586,,26,PGN
10,11,27,,WFM,Nansubuga Gloria,1531,0,0 - 1,0,WFM,Dwilewicz Katarzyna,2132,,11,PGN
11,12,12,,,Arnhold Steffi,2121,0,1 - 0,0,,Ahereza Joan,1459,,28,PGN
12,13,29,,,Nabacwa Allen Kyolaba,1454,0,0 - 1,0,,Nemcova Karin,2091,,13,PGN
13,14,14,,WFM,Djidjeli Sarah,2070,0,1 - 0,0,,Shaw Laurie Ann,1412,,30,PGN
14,15,31,,,Saayman Anais,1229,0,0 - 1,0,WFM,Sankova Stella,2067,,15,PGN
15,16,16,,WFM,Vanduyfhuys Daria,2064,0,1 - 0,0,,Mukisa Glory Bbumba,1105,,32,PGN
