,No.,SNo, ,Team,Team,Pts.,MP,Res.,:,Res.,MP,Pts.,Team,Team, ,SNo
0,1,1,,IRI,Iran,0,0,3½,:,½,0,0,Uzbekistan-2,UZB,,18
1,2,19,,SRI,Sri Lanka,0,0,0,:,4,0,0,Uzbekistan-1,UZB,,2
2,3,3,,IND,India,0,0,4,:,0,0,0,Panama,PAN,,20
3,4,21,,CAN,Canada,0,0,1½,:,2½,0,0,Azerbaijan-1,AZE,,4
4,5,5,,TUR-1,Turkiye-Red,0,0,3,:,1,0,0,England,ENG,,22
5,6,23,,AZE-4,Azerbaijan-4,0,0,1,:,3,0,0,Kazakhstan,KAZ,,6
6,7,7,,TUR-2,Turkiye-White,0,0,2,:,2,0,0,South Africa-1,RSA,,24
7,8,25,,AZE-5,Azerbaijan-Nakhchivan,0,0,1½,:,2½,0,0,Cuba,CUB,,8
8,9,9,,TUR-3,Turkiye-Anatolia,0,0,3,:,1,0,0,Malaysia,MAS,,26
9,10,27,,AZE-3,Azerbaijan-3,0,0,½,:,3½,0,0,Azerbaijan-2,AZE,,10
10,11,11,,MEX,Mexico,0,0,4,:,0,0,0,Lebanon,LBN,,28
11,12,29,,HKG,Hong Kong,0,0,½,:,3½,0,0,Kyrgyzstan,KGZ,,12
12,13,13,,MGL,Mongolia,0,0,4,:,0,0,0,Azerbaijan-Sumgayit Olympic SC,AZE,,30
13,14,31,,RSA-3,South Africa-3,0,0,1½,:,2½,0,0,Moldova,MDA,,14
14,15,15,,BAN,Bangladesh,0,0,3,:,1,0,0,South Africa-2,RSA,,32
15,16,33,,EGY,Egypt,0,0,0,:,4,0,0,Latvia,LAT,,16
16,17,17,,GEO-1,Georgia-1,0,0,4,:,0,0,0,Georgia-2,GEO,,34
