,Bo.,No.,,Name,Pts.,Result,Pts.,,Name,No.
0,1,1,,"Ennenbach,Ralph,Dr.",0,0 - 1,0,FM,"Chaverra,Bismarck",12
1,2,13,,"Schnellenpfeil,Wolfgang,Dr.",0,0 - 1,0,,"Esser,Michael,Dr.",2
2,3,3,,"Roth,Martin",0,0 - 1,0,,"Jahn,Peter",14
3,4,15,,"Matzat,Andre",0,0 - 1,0,,"Kannenberg,Karl-Heinz",4
4,5,5,,"Lagerborg,Krister",0,1 - 0,0,,"Edoecs,Joseph",16
5,6,17,,"Tissink,Arjan",0,0 - 1,0,,"Berg,Anders Hoyer",6
6,7,7,,"Grüttner,Ralf",0,½ - ½,0,,"Schott,Guido",18
7,8,19,,"Templin,Klaus-Dieter",0,0 - 1,0,,"Thirion,Marcel",8
8,9,9,,"Tückmantel,Rene",0,½ - ½,0,,"Hunold,Rolf",20
9,10,21,,"Ilandzis,Spyridon",0,1 - 0,0,IM,"Biro,Sandor",10
10,11,11,,"Hater,Wolfgang,Dr.",0,½ - ½,0,,"Sonder,Peter",22
