,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,first_game_diff,n_tour_diff,n_game_diff,score_diff,n_games_higher,n_upset_higher,n_peo,n_upset_peo,upset
0,offline,standard,-4,0,206.0,FF,0,-19,-162,0.0378151260504201,72,19,0,0,1
1,offline,standard,21,0,220.0,MM,0,0,0,0.0,0,0,0,0,1
2,offline,standard,22,0,213.0,MM,0,-5,-38,-0.052136752136752,13,3,0,0,1
3,offline,standard,-37,0,211.0,MM,0,0,0,0.0,3,1,0,0,0
4,offline,standard,-14,0,204.0,MM,0,-8,-64,-0.0208333333333333,27,12,0,0,1
5,offline,standard,-22,0,202.0,MM,0,-40,-266,-0.0639346729886354,27,15,0,0,0
6,offline,standard,2,0,216.0,MM,0,-11,-100,-0.0779816513761467,16,5,0,0,0
7,offline,standard,26,-1,213.0,MM,0,0,0,0.0,0,0,0,0,1
8,offline,standard,4,0,387.0,MM,0,-10,-83,0.0143593519882179,6,2,0,0,0
9,offline,standard,2,0,289.0,MF,0,-8,-75,0.0340004681647939,8,2,0,0,0
10,offline,standard,1,0,262.0,MF,0,-19,-197,0.553921568627451,19,2,0,0,1
11,offline,standard,2,0,248.0,MM,0,-5,-27,0.0555555555555555,11,5,0,0,0
12,offline,standard,-33,0,241.0,MM,0,-6,-49,0.0711088154269972,24,11,0,0,0
13,offline,standard,-10,-1,263.0,MM,0,0,0,0.0,7,3,0,0,0
14,offline,standard,11,0,229.0,MM,0,-11,-100,0.2510237510237511,14,4,0,0,1
15,offline,standard,0,0,383.0,MM,1,-10,-83,-0.0903614457831325,6,2,0,0,0
16,offline,standard,8,-1,277.0,MM,0,-14,-105,0.4196428571428571,17,8,0,0,0
17,offline,standard,19,0,246.0,MM,1,-11,-100,-0.0849999999999999,14,4,0,0,1
18,offline,standard,-12,0,242.0,MM,0,-40,-266,0.3241758241758241,22,12,0,0,0
19,offline,standard,2,0,275.0,MM,0,-14,-112,0.0119375573921028,13,3,0,0,1
20,offline,standard,31,0,234.0,MM,0,-10,-83,-0.1350690933602966,17,3,0,0,1
21,offline,standard,-10,0,274.0,MM,0,-8,-64,0.021484375,15,3,2,1,0
22,offline,standard,-8,-1,329.0,MM,0,0,0,0.0,3,1,0,0,0
23,offline,standard,7,0,357.0,MM,0,-14,-112,0.0214553638409602,13,2,0,0,0
24,offline,standard,32,0,403.0,MM,1,-10,-83,-0.0903614457831325,6,2,0,0,1
25,offline,standard,29,0,239.0,MF,0,-8,-75,-0.0424836601307189,12,5,0,0,1
26,offline,standard,4,0,208.0,MM,0,0,0,0.0,3,1,0,0,1
27,offline,standard,-8,0,334.0,MM,0,-11,-100,0.0056106684013661,19,7,0,0,1
28,offline,standard,3,-1,239.0,MM,0,0,0,0.0,1,0,0,0,0
29,offline,standard,15,0,377.0,MM,0,-10,-83,0.0657541696881798,9,2,4,0,1
30,offline,standard,17,0,248.0,MF,0,-8,-75,0.3536585365853658,5,2,0,0,0
31,offline,standard,5,0,242.0,MM,0,0,0,0.0,3,1,0,0,1
32,offline,standard,-9,0,230.0,MM,0,-11,-100,0.019423558897243,14,4,0,0,1
33,offline,standard,9,0,429.0,MM,0,-10,-83,0.1630094043887148,7,2,0,0,0
34,offline,standard,7,-1,232.0,MM,0,0,0,0.0,6,1,0,0,0
35,offline,standard,6,0,261.0,MM,0,0,0,0.0,3,0,0,0,0
36,offline,standard,-14,0,396.0,MM,0,-11,-100,0.0009355787222666,17,5,0,0,1
37,offline,standard,15,0,531.0,MM,0,-10,-83,0.3777777777777777,6,2,0,0,1
38,offline,standard,-17,0,296.0,MM,0,-11,-100,-0.0385044642857143,21,7,0,0,1
39,offline,standard,10,0,298.0,MM,0,-10,-83,0.0327912414965986,18,5,0,0,0
40,offline,standard,-20,0,223.0,MM,0,0,0,0.0,0,0,0,0,0
41,offline,standard,-1,-1,202.0,MM,0,-6,-36,-0.1521739130434782,8,0,0,0,0
42,offline,standard,10,0,206.0,MF,0,-3,-55,0.1096158551504771,33,6,0,0,0
43,offline,standard,-29,0,211.0,MM,0,-9,-43,0.0722874720357941,36,13,0,0,0
44,offline,standard,12,0,208.0,MM,0,-4,-33,0.0162538699690402,27,7,0,0,0
45,offline,standard,-17,0,205.0,MM,0,-18,-131,0.0218748472853442,84,22,0,0,0
46,offline,standard,-49,0,204.0,MM,0,-6,-51,-0.0416422716627634,45,14,0,0,0
47,offline,standard,40,0,249.0,MM,0,-1,-6,-0.0208333333333333,5,2,0,0,1
48,offline,standard,-33,0,237.0,MM,0,0,0,0.0,1,0,0,0,0
49,offline,standard,-37,0,228.0,MM,0,-5,-45,0.0253292806484295,102,35,0,0,0
50,offline,standard,3,-1,245.0,MF,0,-3,-23,0.0223325062034739,11,2,0,0,0
51,offline,standard,-24,-1,245.0,MM,0,-6,-36,-0.05,4,0,0,0,1
52,offline,standard,25,0,262.0,MF,0,-6,-44,0.1013513513513513,3,1,0,0,0
53,offline,standard,-33,0,221.0,MM,0,-6,-51,-0.002475947934352,61,14,0,0,0
54,offline,standard,1,-1,227.0,MM,0,-6,-36,-0.0648148148148147,5,1,0,0,0
55,offline,standard,34,0,237.0,MF,0,-6,-44,-0.0267857142857143,8,4,0,0,0
56,offline,standard,-7,0,224.0,MM,0,-8,-86,0.0742575876504447,45,12,0,0,0
57,offline,standard,1,0,281.0,FM,0,-1,-6,0.0002801120448179,34,15,0,0,1
58,offline,standard,-3,0,245.0,MF,0,-3,-55,0.2852941176470588,13,0,0,0,0
59,offline,standard,4,-1,246.0,MM,0,-8,-51,-0.002260397830018,14,3,0,0,1
60,offline,standard,0,0,212.0,MM,0,-1,-6,0.0111111111111111,3,1,0,0,0
61,offline,standard,-24,0,205.0,FM,0,-4,-34,0.0175070028011204,39,17,0,0,1
62,offline,standard,-14,0,256.0,MM,0,-18,-131,0.0601103358293623,48,16,0,0,1
63,offline,standard,-22,0,211.0,MM,0,-4,-34,0.0129064570812144,104,37,0,0,0
64,offline,standard,9,0,231.0,MM,0,-18,-131,-0.0662393162393162,40,13,0,0,1
65,offline,standard,-46,0,234.0,FM,0,-6,-51,-0.0235733695652173,22,1,0,0,1
66,offline,standard,-11,0,205.0,MM,0,-4,-33,0.0176698931236136,65,16,0,0,1
67,offline,standard,37,0,224.0,MM,0,-1,-6,-0.0025557145777959,24,7,0,0,1
68,offline,standard,-28,0,321.0,FM,0,-18,-131,0.0229880011706175,62,23,0,0,1
69,offline,standard,15,0,231.0,MM,0,-4,-33,0.0050167224080268,21,7,0,0,1
70,offline,standard,-1,0,256.0,MM,0,-1,-6,0.0225439012814427,4,1,0,0,1
71,offline,standard,-7,0,280.0,MM,0,-6,-51,-0.1792009400705052,13,1,0,0,0
72,offline,standard,-22,0,321.0,FM,0,-4,-33,0.0192975924547034,43,17,0,0,0
73,offline,standard,24,0,263.0,MM,0,-1,-6,0.0277777777777777,4,1,0,0,0
74,offline,standard,18,-1,203.0,MF,0,-3,-23,0.0259103641456582,15,5,0,0,0
75,offline,standard,-16,0,203.0,MM,0,-6,-51,-0.0366246564957831,28,6,0,0,0
76,offline,standard,15,0,274.0,MM,0,-4,-33,-0.0184517497348886,46,9,0,0,0
77,offline,standard,-38,0,269.0,MM,0,0,0,0.0,19,4,0,0,0
78,offline,standard,54,0,295.0,MM,0,-8,-63,0.0692246835443037,6,2,0,0,0
79,offline,standard,27,0,295.0,MM,0,-27,-237,0.0126803164262446,61,21,0,0,1
80,offline,standard,18,-1,327.0,MM,0,-5,-32,0.0070603337612323,39,14,0,0,0
81,offline,standard,-10,0,326.0,MF,0,-1,-8,0.0195652173913043,27,5,0,0,0
82,offline,standard,10,0,329.0,MM,0,-1,-8,0.0157480314960629,41,9,0,0,0
83,offline,standard,-10,-1,455.0,MM,0,-6,-37,0.0675675675675676,20,2,0,0,0
84,offline,standard,22,0,209.0,MM,0,-7,-27,-0.0176923076923076,7,1,0,0,1
85,offline,standard,28,0,315.0,MM,0,-1,-9,-0.0156774916013437,9,3,0,0,0
86,offline,standard,1,-1,493.0,MM,0,-6,-37,0.0823793316831683,35,6,0,0,0
87,offline,standard,9,0,246.0,MM,0,-7,-27,-0.019859028865518,28,9,0,0,0
88,offline,standard,16,0,258.0,MM,0,-8,-63,0.0236427683381682,38,9,0,0,0
89,offline,standard,16,0,307.0,MF,1,-1,-8,0.25,1,0,0,0,0
90,offline,standard,31,-1,290.0,MM,0,-5,-32,0.04,18,6,0,0,1
91,offline,standard,31,0,296.0,MM,0,-1,-8,0.0132132132132132,10,1,0,0,0
92,offline,standard,13,-1,230.0,MM,0,-5,-32,0.0048780487804878,100,37,0,0,0
93,offline,standard,4,0,253.0,MM,0,0,0,0.0,11,0,0,0,0
94,offline,standard,42,0,334.0,MM,0,-1,-8,0.0182291666666666,25,5,0,0,1
95,offline,standard,-7,0,213.0,MM,1,-27,-237,-0.090717299578059,50,21,0,0,0
96,offline,standard,39,0,208.0,MM,0,-2,-18,0.0459558823529411,8,2,0,0,0
97,offline,standard,27,0,215.0,MM,0,-7,-52,0.06615925058548,35,8,0,0,0
98,offline,standard,-10,0,232.0,MF,0,-1,-8,0.15625,3,2,0,0,0
99,offline,standard,20,-1,214.0,MM,0,-5,-32,0.0909090909090909,14,5,0,0,0
100,offline,standard,-4,0,244.0,MM,0,-7,-27,-0.0180398246255023,29,5,0,0,1
101,offline,standard,12,0,270.0,MM,1,-27,-237,-0.090717299578059,50,21,0,0,1
102,offline,standard,35,0,204.0,MM,0,-1,-9,-0.0452408930669799,11,3,0,0,1
103,offline,standard,43,-1,205.0,MM,0,-5,-32,-0.1418803418803418,20,7,0,0,1
104,offline,standard,34,0,262.0,MM,0,-7,-27,-0.0317460317460317,10,1,0,0,1
105,offline,standard,30,0,336.0,MM,0,-8,-63,0.0182386659718603,5,1,0,0,0
106,offline,standard,7,0,226.0,MM,0,-7,-27,-0.010225994477963,40,9,0,0,1
107,offline,standard,1,0,265.0,MM,0,0,0,0.0,7,1,0,0,0
108,offline,standard,6,1,222.0,MF,0,-1,-8,0.0259740259740259,19,2,0,0,0
109,offline,standard,48,-1,312.0,MM,0,-5,-32,-0.0182291666666666,35,10,0,0,0
110,offline,standard,11,0,349.0,MM,0,-27,-237,-0.1008612440191388,54,22,0,0,1
111,offline,standard,-14,0,209.0,MM,0,-7,-52,0.0153985507246376,50,13,0,0,1
112,offline,standard,29,0,220.0,MM,0,-1,-9,-0.0041176470588234,9,3,0,0,1
113,offline,blitz,-10,0,571.0,MM,0,-41,-344,0.1071977138774781,53,13,1,0,0
114,offline,blitz,-5,0,885.0,MM,0,-3,-26,0.0938673341677096,14,2,0,0,0
115,offline,blitz,2,0,365.0,MF,0,-5,-37,0.0121975308641975,14,3,0,0,0
116,offline,blitz,-5,0,320.0,MM,0,-6,-29,-0.011090909090909,11,2,1,1,1
117,offline,blitz,23,0,276.0,MF,0,-5,-37,0.0426677713338856,9,3,1,1,1
118,offline,blitz,-35,0,513.0,MM,0,-3,-26,0.0354300624359332,19,2,2,0,0
119,offline,blitz,-11,0,442.0,MM,0,-8,-51,0.0045454545454545,9,6,2,0,0
120,offline,blitz,-7,0,568.0,MM,0,-6,-29,0.0071227741330833,8,4,0,0,0
121,offline,blitz,0,0,389.0,MM,0,-3,-26,-0.2285714285714285,14,2,1,1,1
122,offline,blitz,-12,0,271.0,MM,0,-26,-219,0.0117412644092218,22,8,0,0,0
123,offline,blitz,32,0,469.0,MF,0,-5,-37,0.0184873949579832,8,2,1,0,0
124,offline,blitz,16,0,231.0,MM,0,-6,-29,-0.0140056022408963,6,2,1,0,1
125,offline,blitz,-47,0,395.0,MM,0,-1,-9,0.0433679288321168,17,8,0,0,0
126,offline,blitz,-22,0,387.0,MM,0,-3,-26,0.1871345029239766,15,2,1,0,0
127,offline,blitz,-32,-1,321.0,MM,0,-2,-17,0.1176470588235294,11,3,0,0,0
128,offline,blitz,-31,0,471.0,MM,0,-5,-24,0.0270322270322269,6,3,0,0,0
129,offline,blitz,-43,-1,763.0,MM,0,-2,-17,0.0457542457542456,10,3,0,0,0
130,offline,blitz,-27,0,458.0,MM,0,-3,-26,0.0202545568824638,62,12,1,0,0
131,offline,blitz,-25,0,397.0,MM,0,-5,-19,0.0036936649659864,18,8,1,0,1
132,offline,blitz,0,0,268.0,MM,0,-26,-219,0.0041046511627906,13,1,2,0,0
133,offline,blitz,25,0,424.0,MM,0,-6,-29,-0.0178896300788355,5,1,0,0,0
134,offline,blitz,-35,0,392.0,MM,0,-1,-9,0.0435223880597015,8,1,1,0,0
135,offline,blitz,-20,0,326.0,MM,0,-41,-344,0.0468087923728813,65,18,1,0,0
136,offline,blitz,-26,0,587.0,MM,0,-3,-26,0.1443850267379679,18,5,0,0,0
137,offline,blitz,-12,-1,292.0,MM,0,-2,-17,0.1148373983739837,8,0,1,0,0
138,offline,blitz,-37,0,1029.0,MM,0,-3,-26,0.0608281770585434,17,5,0,0,0
139,offline,blitz,-13,0,394.0,MM,0,-5,-19,0.0021666666666666,9,1,0,0,0
140,offline,blitz,-14,0,303.0,MM,0,-1,-9,0.1415868673050616,3,1,0,0,0
141,offline,blitz,30,0,372.0,MM,0,-26,-219,0.0042016806722688,7,0,1,0,0
142,offline,blitz,-5,0,496.0,MM,0,-1,-9,0.0756302521008404,2,0,0,0,0
143,offline,blitz,8,0,305.0,MM,0,-5,-19,0.0160932297447281,4,1,1,0,0
144,offline,blitz,-8,0,323.0,MM,0,-41,-344,0.0381918976545841,56,11,1,0,0
145,offline,blitz,10,0,245.0,MM,0,-12,-128,0.0412348743406764,20,11,1,1,1
146,offline,blitz,-6,0,558.0,MM,0,-3,-26,0.1216666666666666,15,2,1,0,0
147,offline,blitz,6,1,266.0,MM,0,-3,-26,-0.0259917920656634,19,2,2,1,1
148,offline,blitz,-41,0,226.0,MM,0,-5,-24,0.0187088815789473,18,8,1,0,0
149,offline,blitz,0,0,613.0,MF,0,-5,-37,0.0292979297929792,11,5,1,0,0
150,offline,blitz,13,0,234.0,MM,0,-41,-344,0.073295985060691,51,11,0,0,1
151,offline,blitz,17,0,498.0,MM,0,-5,-19,0.0033806626098715,3,0,0,0,0
152,offline,blitz,22,0,427.0,MM,0,-41,-344,0.0426898914905768,50,10,0,0,0
153,offline,blitz,-2,0,248.0,MM,0,-16,-125,0.045924764890282,11,4,1,0,0
154,offline,blitz,-53,-1,518.0,MM,0,-2,-17,0.0463631465517241,22,8,0,0,0
155,offline,blitz,-30,0,461.0,MM,0,-3,-26,0.1887147335423197,17,3,1,0,0
156,offline,blitz,-29,0,223.0,MM,0,-5,-24,0.0171275167785235,9,1,0,0,0
157,offline,blitz,-23,0,337.0,MM,0,-7,-34,0.0133394243947007,6,4,1,0,0
158,offline,blitz,21,0,298.0,MM,0,-8,-51,-0.0378151260504201,6,3,1,1,1
159,offline,blitz,-41,-1,515.0,MM,0,-2,-17,0.045887323943662,13,1,1,0,0
160,offline,blitz,-47,0,784.0,MM,0,-3,-26,0.0595068993506493,29,10,0,0,0
161,offline,blitz,-17,0,323.0,MM,0,-6,-29,-0.0086335589171974,20,9,1,0,0
162,offline,blitz,-37,0,416.0,FM,0,-3,-26,0.1184041184041184,20,4,1,1,0
163,offline,blitz,-20,-1,426.0,MM,0,-2,-17,0.1372549019607843,8,1,0,0,0
164,offline,blitz,1,0,327.0,MM,0,-5,-24,0.0274936061381074,3,0,1,0,0
165,offline,blitz,-2,0,516.0,MM,0,-26,-219,0.0644412878787878,10,3,1,0,0
