,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
0,1,1,2224,,Kabilov Amin,0 - 1,IM,Isaev Jamshed,2296,8
1,2,2,1875,,Ilkhomi Jaloliddin,0 - 1,IM,Khusenkhojaev Muhammad,2399,7
2,3,3,1922,,Sharifov Mekhriddin,1 - 0,IM,Khamdamov Suhrob,2202,6
3,4,4,2222,FM,Karimov Alisher,½ - ½,,Khusenkhojaev Mustafokhuja,2255,5
4,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
5,1,8,2296,IM,Isaev Jamshed,1 - 0,,Khusenkhojaev Mustafokhuja,2255,5
6,2,6,2202,IM,Khamdamov Suhrob,½ - ½,FM,Karimov Alisher,2222,4
7,3,7,2399,IM,Khusenkhojaev Muhammad,1 - 0,,Sharifov Mekhriddin,1922,3
8,4,1,2224,,Kabilov Amin,1 - 0,,Ilkhomi Jaloliddin,1875,2
9,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
10,1,2,1875,,Ilkhomi Jaloliddin,½ - ½,IM,Isaev Jamshed,2296,8
11,2,3,1922,,Sharifov Mekhriddin,½ - ½,,Kabilov Amin,2224,1
12,3,4,2222,FM,Karimov Alisher,1 - 0,IM,Khusenkhojaev Muhammad,2399,7
13,4,5,2255,,Khusenkhojaev Mustafokhuja,½ - ½,IM,Khamdamov Suhrob,2202,6
14,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
15,1,8,2296,IM,Isaev Jamshed,1 - 0,IM,Khamdamov Suhrob,2202,6
16,2,7,2399,IM,Khusenkhojaev Muhammad,1 - 0,,Khusenkhojaev Mustafokhuja,2255,5
17,3,1,2224,,Kabilov Amin,- - +,FM,Karimov Alisher,2222,4
18,4,2,1875,,Ilkhomi Jaloliddin,1 - 0,,Sharifov Mekhriddin,1922,3
19,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
20,1,3,1922,,Sharifov Mekhriddin,0 - 1,IM,Isaev Jamshed,2296,8
21,2,4,2222,FM,Karimov Alisher,1 - 0,,Ilkhomi Jaloliddin,1875,2
22,3,5,2255,,Khusenkhojaev Mustafokhuja,1 - 0,,Kabilov Amin,2224,1
23,4,6,2202,IM,Khamdamov Suhrob,1 - 0,IM,Khusenkhojaev Muhammad,2399,7
24,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
25,1,8,2296,IM,Isaev Jamshed,½ - ½,IM,Khusenkhojaev Muhammad,2399,7
26,2,1,2224,,Kabilov Amin,- - +,IM,Khamdamov Suhrob,2202,6
27,3,2,1875,,Ilkhomi Jaloliddin,1 - 0,,Khusenkhojaev Mustafokhuja,2255,5
28,4,3,1922,,Sharifov Mekhriddin,0 - 1,FM,Karimov Alisher,2222,4
29,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
30,1,4,2222,FM,Karimov Alisher,½ - ½,IM,Isaev Jamshed,2296,8
31,2,5,2255,,Khusenkhojaev Mustafokhuja,0 - 1,,Sharifov Mekhriddin,1922,3
32,3,6,2202,IM,Khamdamov Suhrob,1 - 0,,Ilkhomi Jaloliddin,1875,2
33,4,7,2399,IM,Khusenkhojaev Muhammad,½ - ½,,Kabilov Amin,2224,1
