,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.,PGN
0,1,1,FM,Avramidou Anastasia,2183,0,0 - 1,0,,Pellicoro Nathalie,1878,12,PGN
1,2,13,WFM,Sankova Stella,1869,0,½ - ½,0,WIM,Sliwicka Alicja,2154,2,PGN
2,3,3,WFM,Terbe Zsuzsanna,2122,0,1 - 0,0,,Meszarosova Eva,1857,14,PGN
3,4,15,WFM,Vanduyfhuys Daria,1784,0,1 - 0,0,WIM,Kubicka Anna,2072,4,PGN
4,5,5,WIM,Terbe Julianna,2059,0,0 - 1,0,WFM,Azali Tannaz,1749,16,PGN
5,6,17,WFM,Naran-Erdene Naranbaatar,1712,0,0 - 1,0,WGM,Antolak Julia,2037,6,PGN
6,7,7,WIM,Alinasab Mobina,2006,0,1 - 0,0,,Paktinat Zhina,1674,18,PGN
7,8,19,WIM,Du Plessis Anika,1586,0,0 - 1,0,,Tomasi Elise,1942,8,PGN
8,9,9,WFM,Djidjeli Sarah,1910,0,1 - 0,0,,Ahereza Joan,1562,20,PGN
9,10,21,,Nabacwa Allen Kyolaba,1516,0,0 - 1,0,WFM,Dwilewicz Katarzyna,1907,10,PGN
10,11,11,WFM,Kucharska Honorata,1883,0,1 - 0,0,WFM,Nansubuga Gloria,1484,22,PGN
